#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
72,Iván Herrera,STL,139,592,20,79,69,9,10.60%,19.50%,0.168,0.315,0.273,0.361,0.441,0.351,128,0,19.6,-10.5,3
73,Marcus Semien,NYM,149,644,21,80,71,9,9.00%,16.70%,0.159,0.261,0.241,0.314,0.4,0.312,103,0.2,2.2,5.2,2.9
74,Gleyber Torres,DET,154,665,18,83,69,5,11.20%,17.00%,0.146,0.292,0.26,0.346,0.406,0.331,112,-1.9,7.7,-1.8,2.9
75,Francisco Alvarez,NYM,117,467,23,58,65,2,9.40%,24.40%,0.217,0.274,0.241,0.32,0.459,0.336,119,-0.9,9.5,1.5,2.9
76,Jung Hoo Lee,SFG,141,609,11,74,57,11,7.70%,11.30%,0.138,0.295,0.273,0.335,0.411,0.325,111,0.9,8.6,-0.3,2.9
77,Matt Shaw,CHC,139,602,20,75,70,23,9.60%,19.70%,0.17,0.274,0.243,0.322,0.413,0.321,107,1.4,6.6,1.9,2.9
78,Andy Pages,LAD,146,630,27,78,86,11,5.90%,21.20%,0.194,0.286,0.255,0.308,0.45,0.326,109,0.1,7.1,0.5,2.9
79,Ceddanne Rafaela,BOS,143,616,19,73,73,22,4.70%,20.70%,0.167,0.298,0.257,0.299,0.424,0.312,95,1.7,-2,9,2.9
80,Ben Rice,NYY,133,568,29,77,82,5,10.30%,21.30%,0.229,0.267,0.247,0.332,0.476,0.348,125,-0.9,16,-7.7,2.8
81,Jose Altuve,HOU,147,637,22,81,78,13,8.30%,17.00%,0.167,0.293,0.266,0.332,0.433,0.331,113,-0.5,9.4,-3.6,2.8
82,Ezequiel Tovar,COL,151,651,22,83,71,11,5.10%,23.60%,0.178,0.316,0.263,0.304,0.441,0.32,91,0.5,-6.4,12.1,2.8
83,Dillon Dingler,DET,110,435,13,47,50,1,6.80%,24.20%,0.159,0.299,0.245,0.305,0.404,0.308,96,-0.5,-2.3,10,2.8
84,Caleb Durbin,MIL,141,609,13,67,65,24,7.50%,11.80%,0.138,0.274,0.258,0.331,0.395,0.32,106,1.3,5.3,1.5,2.8
85,Josh Naylor,SEA,144,623,25,77,87,16,8.30%,15.70%,0.184,0.28,0.265,0.33,0.449,0.335,122,-0.4,15.5,-10,2.8
86,Drake Baldwin,ATL,128,522,19,65,72,1,9.40%,17.20%,0.179,0.293,0.268,0.34,0.447,0.342,119,-1.1,10.8,-0.2,2.7
87,Jackson Holliday,BAL,134,581,16,78,56,17,10.40%,21.10%,0.152,0.298,0.251,0.334,0.403,0.323,109,0.3,6.3,0.5,2.7
88,Tyler Soderstrom,ATH,136,588,28,77,85,6,8.70%,22.30%,0.216,0.292,0.259,0.329,0.475,0.345,119,-0.7,12.7,-6.2,2.7
89,Oneil Cruz,PIT,125,539,22,67,66,27,10.70%,30.20%,0.201,0.308,0.237,0.323,0.438,0.328,108,2.4,7.6,1.1,2.7
90,Bryson Stott,PHI,144,623,15,71,67,25,8.90%,16.30%,0.137,0.288,0.257,0.327,0.394,0.316,100,2,2.2,3.7,2.7
91,Shea Langeliers,ATH,131,524,28,72,76,5,7.50%,22.70%,0.234,0.273,0.25,0.311,0.484,0.339,115,-0.4,9,5.4,2.7
92,Ryan Jeffers,MIN,134,539,18,64,65,3,9.40%,21.00%,0.173,0.283,0.245,0.329,0.418,0.327,109,-1.3,4.2,4.2,2.7
93,Yainer Diaz,HOU,128,509,20,60,69,2,4.40%,17.00%,0.18,0.295,0.273,0.308,0.453,0.326,110,-0.6,5.1,7,2.6
94,Royce Lewis,MIN,131,567,25,67,76,11,7.70%,21.50%,0.196,0.281,0.252,0.311,0.448,0.327,109,-0.2,5.7,0.6,2.6
95,Eugenio Suárez,,149,644,33,78,90,3,8.40%,29.00%,0.22,0.275,0.23,0.306,0.45,0.326,108,-2.4,4,-0.2,2.6
96,Trent Grisham,NYY,130,560,24,76,61,6,12.80%,24.80%,0.195,0.256,0.22,0.327,0.415,0.325,110,-0.5,6,0.3,2.6
97,Otto Lopez,MIA,139,602,12,63,64,17,7.20%,15.10%,0.126,0.302,0.27,0.326,0.396,0.316,100,0.8,1,4.4,2.6
98,George Springer,TOR,138,595,25,85,71,13,10.10%,19.30%,0.195,0.288,0.261,0.342,0.456,0.345,123,0.7,16.8,-11.9,2.6
99,Brandon Nimmo,TEX,146,630,22,83,70,10,9.70%,22.10%,0.172,0.301,0.256,0.336,0.428,0.333,116,-0.4,11.2,-7.6,2.6
100,Colson Montgomery,CHW,139,602,27,69,78,3,8.70%,29.10%,0.197,0.271,0.221,0.299,0.418,0.311,98,-0.7,-1.8,5.9,2.5
101,J.P. Crawford,SEA,147,637,12,69,59,6,11.90%,19.60%,0.119,0.288,0.241,0.337,0.36,0.311,105,-0.9,3.2,-0.4,2.5
102,Seiya Suzuki,CHC,146,630,26,80,86,8,10.50%,25.40%,0.2,0.308,0.254,0.335,0.454,0.34,121,-1.3,14.1,-10.4,2.5
103,Brent Rooker,ATH,154,665,33,90,99,6,9.60%,25.50%,0.228,0.303,0.258,0.335,0.486,0.351,123,-1.1,17.2,-15.6,2.5
104,Joey Ortiz,MIL,146,630,13,70,65,16,7.80%,17.00%,0.133,0.284,0.249,0.313,0.382,0.305,95,0.9,-2.7,5.8,2.5
105,Alec Burleson,STL,139,602,23,74,81,6,7.10%,14.10%,0.177,0.292,0.278,0.333,0.455,0.34,121,-1.4,13.4,-9.5,2.4
106,Michael Busch,CHC,138,595,27,82,73,4,10.20%,24.70%,0.216,0.292,0.248,0.332,0.464,0.343,122,-1.5,14.1,-10,2.4
107,Taylor Ward,BAL,152,658,27,81,84,5,10.30%,24.10%,0.193,0.287,0.244,0.328,0.437,0.332,115,-1.6,9.8,-8.8,2.4
108,Alec Bohm,PHI,141,609,16,70,77,3,6.90%,15.60%,0.15,0.304,0.275,0.33,0.425,0.327,108,-1.2,4.8,-1.5,2.4
109,Ernie Clement,TOR,149,644,13,70,72,9,4.60%,9.90%,0.13,0.289,0.276,0.313,0.406,0.311,100,0.3,0.1,1.2,2.4
