All First Basemen 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Niko Kavadas 1B | LAA ,0,.000,0,0,0,9999
W ,Ryan Clifford 1B | NYM ,0,.000,0,0,0,9999
W ,Dalton Kelly 1B | MIN ,0,.000,0,0,0,9999
W ,Gerald Bautista 1B | CLE ,0,.000,0,0,0,9999
W ,Chad Castillo 1B | PHI ,0,.000,0,0,0,9999
W ,Ernesto Wilson Martinez 1B | MIL ,0,.000,0,0,0,9999
W ,Drew Lugbauer 1B | ATH ,0,.000,0,0,0,9999
W ,Christian Williams 1B | TOR ,0,.000,0,0,0,9999
W ,Warming Bernabel 1B | COL ,0,.000,0,0,0,9999
W ,Chris Meyers 1B | DET ,0,.000,0,0,0,9999
W ,Chad Christensen 1B | MIN ,0,.000,0,0,0,9999
W ,Luis Castro 1B | HOU ,0,.000,0,0,0,9999
W ,Romeo Sanabria 1B | SD ,0,.000,0,0,0,9999
W ,Chris DeVito 1B | KC ,0,.000,0,0,0,9999
W ,Peyton Williams 1B | TOR ,0,.000,0,0,0,9999
W ,Leonardo Seminati 1B | CIN ,0,.000,0,0,0,9999
W ,Nathaniel Hickey 1B | BOS ,0,.000,0,0,0,9999
W ,Jake Brodt 1B | TOR ,0,.000,0,0,0,9999
W ,Luke Gold 1B | DET ,0,.000,0,0,0,9999
W ,Freddvil Chevez 1B | TB ,0,.000,0,0,0,9999
W ,Lyle Lin 1B | ATH ,0,.000,0,0,0,9999
W ,Jaquez Williams 1B | SD ,0,.000,0,0,0,9999
W ,Dexture McCall 1B | HOU ,0,.000,0,0,0,9999
W ,J.D. Mundy 1B | BAL ,0,.000,0,0,0,9999
W ,Tyler Hardman 1B | NYY ,0,.000,0,0,0,9999
W ,Chase McDonald 1B | HOU ,0,.000,0,0,0,9999
Report Updated as of  12/19/25  2:05 PM EST
