All Third Basemen 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Ruddy Giron 3B | SD ,0,.000,0,0,0,9999
W ,Caleb Cali 3B | SEA ,0,.000,0,0,0,9999
W ,Alexander Albertus 3B | CHW ,0,.000,0,0,0,9999
W ,Gleider Figuereo 3B | TEX ,0,.000,0,0,0,9999
W ,Luis De Los Santos 3B | TOR,0,.000,0,0,0,9999
W ,Michael Snyder 3B | MIA ,0,.000,0,0,0,9999
W ,Javier Vaz 3B | KC,0,.000,0,0,0,9999
W ,Ernny Ordonez 3B | PIT ,0,.000,0,0,0,9999
W ,Winder Diaz 3B | WAS ,0,.000,0,0,0,9999
W ,"Curtis Mead 1B,3B | CHW",0,.000,0,0,0,9999
W ,Claudio Finol 3B | CIN ,0,.000,0,0,0,9999
W ,John Aiello 3B | TOR ,0,.000,0,0,0,9999
W ,Mike Ahmed 3B | ARI ,0,.000,0,0,0,9999
W ,Gage Workman 3B | DET ,0,.000,0,0,0,9999
W ,Matt Kroon 3B | PHI,0,.000,0,0,0,9999
W ,Shane Matheny 3B | SF ,0,.000,0,0,0,9999
W ,Bryan Ramos 3B | CHW,0,.000,0,0,0,9999
W ,Blake Rambusch 3B | SEA ,0,.000,0,0,0,9999
W ,Zach Shank 3B | SEA ,0,.000,0,0,0,9999
W ,Amador Arias 3B | SEA ,0,.000,0,0,0,9999
W ,Beau Brewer 3B | NYY ,0,.000,0,0,0,9999
W ,Trey Paige 3B | STL ,0,.000,0,0,0,9999
W ,Charles Mack 3B | MIN ,0,.000,0,0,0,9999
W ,Aderlin Rodriguez 3B | SD ,0,.000,0,0,0,9999
W ,Marquez Smith 3B | CIN ,0,.000,0,0,0,9999
W ,Luis Toribio 3B | SF ,0,.000,0,0,0,9999
W ,Braxton Martinez 3B | LAA ,0,.000,0,0,0,9999
W ,Yorlis Rodriguez 3B | SF ,0,.000,0,0,0,9999
W ,Jake Means 3B | KC ,0,.000,0,0,0,9999
W ,Nick Basto 3B | CHW ,0,.000,0,0,0,9999
W ,Starlin Aguilar 3B | SEA,0,.000,0,0,0,9999
W ,Danny Edgeworth 3B | COL ,0,.000,0,0,0,9999
W ,Eudy Ramos 3B | ARI ,0,.000,0,0,0,9999
W ,Luis Suisbel 3B | SEA ,0,.000,0,0,0,9999
W ,Anderson Feliz 3B | BAL ,0,.000,0,0,0,9999
W ,Logan Taylor 3B | SEA ,0,.000,0,0,0,9999
W ,Anderson Franco 3B | WAS ,0,.000,0,0,0,9999
W ,Juan Baez 3B | MIL ,0,.000,0,0,0,9999
W ,Bradley Jones 3B | TOR ,0,.000,0,0,0,9999
W ,Dan Fiorito 3B | NYY ,0,.000,0,0,0,9999
W ,Henry Pujols 3B | CLE ,0,.000,0,0,0,9999
W ,Ben McLaughlin 3B | ARI ,0,.000,0,0,0,9999
W ,Angelo Castellano 3B | CHW,0,.000,0,0,0,9999
W ,Cutter Coffey 3B | TOR ,0,.000,0,0,0,9999
W ,Marcos Almonte 3B | HOU ,0,.000,0,0,0,9999
W ,Ryan Johnson 3B | HOU ,0,.000,0,0,0,9999
W ,Mitch Delfino 3B | SF ,0,.000,0,0,0,9999
W ,Luke Ritter 3B | NYM ,0,.000,0,0,0,9999
W ,Brett Langhorne 3B | ATL ,0,.000,0,0,0,9999
W ,Echedry Vargas 3B | MIA ,0,.000,0,0,0,9999
W ,Randy Cesar 3B | MIN ,0,.000,0,0,0,9999
W ,Todd Czinege 3B | COL ,0,.000,0,0,0,9999
W ,Skyler Messinger 3B | COL ,0,.000,0,0,0,9999
W ,Justin Williams 3B | HOU ,0,.000,0,0,0,9999
W ,Cristian Santana 3B | CIN ,0,.000,0,0,0,9999
W ,Kevin Maitan 3B | MIN ,0,.000,0,0,0,9999
W ,Hans Montero 3B | NYY ,0,.000,0,0,0,9999
W ,Myles Naylor 3B | ATH ,0,.000,0,0,0,9999
W ,Jorgelys Mota 3B | WAS ,0,.000,0,0,0,9999
W ,Nash Knight 3B | TEX ,0,.000,0,0,0,9999
W ,Jesse Hodges 3B | CHC ,0,.000,0,0,0,9999
W ,Drew Maggi 3B | PIT,0,.000,0,0,0,9999
W ,Dante Bichette 3B | NYY ,0,.000,0,0,0,9999
W ,Nova Valdez 3B | ATH ,0,.000,0,0,0,9999
W ,Otto Kemp 3B | PHI ,0,.000,0,0,0,9999
W ,Charlie Pagliarini 3B | SEA ,0,.000,0,0,0,9999
W ,Armando Alvarez 3B | MIN,0,.000,0,0,0,9999
W ,Ryan Metzler 3B | COL ,0,.000,0,0,0,9999
W ,McCarthy Tatum 3B | PHI ,0,.000,0,0,0,9999
W ,Reid Redman 3B | KC ,0,.000,0,0,0,9999
W ,Stone Russell 3B | KC ,0,.000,0,0,0,9999
W ,Trey Lipscomb 3B | WAS ,0,.000,0,0,0,9999
