All Catchers 2024  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Gashouse Gang,William Contreras C | MIL ,23,.365,99,92,9,27
W ,Andy Thomas C | SD ,0,.000,0,0,0,9999
W ,Scott Kapers C | TEX ,0,.000,0,0,0,9999
W ,Ryan Miller C | SD ,0,.000,0,0,0,9999
W ,Brady Lindsly C | WAS ,0,.000,0,0,0,9999
W ,Antonio Gomez C | NYY ,0,.000,0,0,0,9999
W ,Jackson Miller C | CIN ,0,.000,0,0,0,9999
W ,Alex Murphy C | BAL ,0,.000,0,0,0,9999
W ,Philip Clarke C | TOR ,0,.000,0,0,0,9999
W ,Jorge Saez C | NYY ,0,.000,0,0,0,9999
W ,Chris Betts C | TB ,0,.000,0,0,0,9999
W ,Yohel Pozo C | STL ,0,.000,0,0,0,9999
W ,Gavin Collins C | STL ,0,.000,0,0,0,9999
W ,Michael Tinsley C | CLE ,0,.000,0,0,0,9999
W ,Alexander Alvarez C | TB ,0,.000,0,0,0,9999
W ,Donny Sands C | DET ,0,.000,0,0,0,9999
W ,Logan Ice C | CLE ,0,.000,0,0,0,9999
W ,Nick Raposo C | SEA ,0,.000,0,0,0,9999
W ,C.J. Stubbs C | WAS,0,.000,0,0,0,9999
W ,Alex Monsalve C | TOR ,0,.000,0,0,0,9999
W ,Jeff Glenn C | NYM ,0,.000,0,0,0,9999
W ,Cole Messina C | COL ,0,.000,0,0,0,9999
W ,David Freitas C | LAD ,0,.000,0,0,0,9999
W ,Brent Diaz C | MIL ,0,.000,0,0,0,9999
W ,Kevin Torres C | TEX ,0,.000,0,0,0,9999
W ,Matt Morgan C | TOR ,0,.000,0,0,0,9999
W ,Ty Duvall C | SEA ,0,.000,0,0,0,9999
W ,Seth Conner C | TOR ,0,.000,0,0,0,9999
W ,Melvin Novoa C | TEX ,0,.000,0,0,0,9999
W ,Ben Turner C | SF ,0,.000,0,0,0,9999
W ,David Garcia C | MIL ,0,.000,0,0,0,9999
W ,Caleb Lomavita C | WAS ,0,.000,0,0,0,9999
W ,Jin-De Jhang C | SF ,0,.000,0,0,0,9999
W ,Alberto Barriga C | ARI ,0,.000,0,0,0,9999
W ,Juan Flores C | LAA ,0,.000,0,0,0,9999
W ,Edward Duran C | TOR ,0,.000,0,0,0,9999
W ,Nate Baez C | MIN ,0,.000,0,0,0,9999
W ,Ramon Rodriguez C | MIL ,0,.000,0,0,0,9999
W ,Alex Isola C | MIN ,0,.000,0,0,0,9999
W ,Michael Berglund C | CLE ,0,.000,0,0,0,9999
W ,Lamar King C | SD ,0,.000,0,0,0,9999
W ,Manuel Palencia C | NYY ,0,.000,0,0,0,9999
W ,Pablo Aliendo C | CHC ,0,.000,0,0,0,9999
W ,Jake Hirabayashi C | MIN ,0,.000,0,0,0,9999
W ,Garrett Boulware C | CIN ,0,.000,0,0,0,9999
W ,Ricardo Valenzuela C | SD ,0,.000,0,0,0,9999
W ,Matt Winn C | SF ,0,.000,0,0,0,9999
W ,Sandy Leon C | ATL,0,.000,0,0,0,9999
W ,Luis Meza C | TOR ,0,.000,0,0,0,9999
W ,Brett Wellman C | TOR ,0,.000,0,0,0,9999
W ,Michael Perez C | BAL ,0,.000,0,0,0,9999
W ,Armando Araiza C | TB ,0,.000,0,0,0,9999
W ,Tyler Baker C | ARI ,0,.000,0,0,0,9999
W ,Kale Emshoff C | KC ,0,.000,0,0,0,9999
W ,Michael Trautwein C | CIN ,0,.000,0,0,0,9999
W ,Brian Navarreto C | MIA ,0,.000,0,0,0,9999
W ,Chris Berset C | CIN ,0,.000,0,0,0,9999
W ,Chase Vallot C | KC ,0,.000,0,0,0,9999
W ,Will Bush C | HOU ,0,.000,0,0,0,9999
W ,James Kennedy C | LAD ,0,.000,0,0,0,9999
W ,Silas Ardoin C | BAL ,0,.000,0,0,0,9999
W ,Matt Jones C | ARI ,0,.000,0,0,0,9999
W ,Jose Hernandez C | NYM ,0,.000,0,0,0,9999
W ,Josue Briceno C | DET ,0,.000,0,0,0,9999
W ,Kevin Bazzell C | WAS ,0,.000,0,0,0,9999
W ,Jeferson Quero C | MIL,0,.000,0,0,0,9999
W ,Adony Mejia C | PHI ,0,.000,0,0,0,9999
W ,Austin Athmann C | DET ,0,.000,0,0,0,9999
W ,Edgar Quero C | CHW,0,.000,0,0,0,9999
W ,Jake Anchia C | CLE,0,.000,0,0,0,9999
W ,Carlos Paulino C | MIA ,0,.000,0,0,0,9999
W ,Jack Murphy C | MIA ,0,.000,0,0,0,9999
W ,Chris O'Brien C | BAL ,0,.000,0,0,0,9999
W ,Nick Montgomery C | ATL ,0,.000,0,0,0,9999
W ,Bennett Thompson C | CLE ,0,.000,0,0,0,9999
W ,Brandon Martorano C | TEX ,0,.000,0,0,0,9999
W ,Brandon Valenzuela C | TOR ,0,.000,0,0,0,9999
W ,Arturo Rodriguez C | MIA ,0,.000,0,0,0,9999
W ,Victor Mesia C | TOR,0,.000,0,0,0,9999
W ,Rusber Estrada C | ATL ,0,.000,0,0,0,9999
W ,Diego Cartaya C | MIN ,0,.000,0,0,0,9999
W ,Josh Morgan C | SEA ,0,.000,0,0,0,9999
W ,Andriel Lantigua C | NYM ,0,.000,0,0,0,9999
W ,Brett Cumberland C | SF ,0,.000,0,0,0,9999
W ,Ty Ross C | SF ,0,.000,0,0,0,9999
W ,Brooks Brannon C | BOS ,0,.000,0,0,0,9999
W ,Miguel Jerez C | CLE ,0,.000,0,0,0,9999
W ,Javier Valdes C | ATL ,0,.000,0,0,0,9999
W ,J.C. Escarra C | NYY,0,.000,0,0,0,9999
W ,Roberto Pena C | LAA ,0,.000,0,0,0,9999
W ,AJ Lewis C | COL ,0,.000,0,0,0,9999
W ,Matt Scheffler C | SEA ,0,.000,0,0,0,9999
W ,Jake Romanski C | BOS ,0,.000,0,0,0,9999
W ,Kevin Plawecki C | TEX ,0,.000,0,0,0,9999
W ,Brendan Durfee C | SD ,0,.000,0,0,0,9999
W ,Daniel Susac C | SF ,0,.000,0,0,0,9999
W ,Marco Dinges C | MIL ,0,.000,0,0,0,9999
W ,Omar Hernandez C | KC ,0,.000,0,0,0,9999
W ,Lorenzo Quintana C | MIA ,0,.000,0,0,0,9999
W ,Parker Morin C | CIN ,0,.000,0,0,0,9999
W ,Brandon Brosher C | NYM ,0,.000,0,0,0,9999
W ,Luis Avalo C | MIL ,0,.000,0,0,0,9999
W ,Michael Rivera C | CLE ,0,.000,0,0,0,9999
W ,Charlie Valerio C | SD ,0,.000,0,0,0,9999
W ,Josh Crouch C | DET ,0,.000,0,0,0,9999
W ,Santiago Nessy C | NYY ,0,.000,0,0,0,9999
W ,Will Allen C | DET ,0,.000,0,0,0,9999
W ,Kyle Lovelace C | LAA ,0,.000,0,0,0,9999
W ,Jason Lopez C | NYY ,0,.000,0,0,0,9999
W ,Zach Humphreys C | LAA ,0,.000,0,0,0,9999
