All Utility Players 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,"Edmundo Sosa 2B,3B | PHI",10,.293,34,30,4,431
W ,Johan Rojas OF | PHI ,2,.342,24,23,14,433
Rieken Havoc,Zachary Neto SS | LAA ,9,.308,38,34,5,441
W ,Nick Madrigal 3B | NYM ,2,.311,34,28,10,444
W ,Alejandro Kirk C | TOR ,8,.334,34,43,0,445
W ,Tony Kemp 2B | MIN ,5,.303,42,27,15,446
W ,Alex Call OF | LAD,8,.307,43,38,9,448
Young Guns,"Alec Burleson 1B,OF | STL",8,.300,34,36,3,449
W ,Luis Campusano DH | SD ,7,.356,27,30,0,451
W ,Stuart Fairchild OF | TB ,5,.321,34,28,10,455
W ,Andruw Monasterio SS | MIL,3,.330,38,27,7,456
W ,Brian Anderson OF | ATL ,9,.310,38,40,1,458
W ,Freddy Fermin C | SD,9,.321,26,32,0,459
W ,Andrew Knizner C | SEA ,10,.287,30,31,2,468
W ,Rowdy Tellez 1B | TEX,13,.291,26,47,0,469
W ,Kevin Pillar OF | TEX,9,.248,29,32,4,470
W ,Travis d'Arnaud C | LAA ,11,.288,31,39,0,476
Dawg,"Jared Triolo 1B,3B,SS | PIT",3,.388,30,21,6,478
W ,Patrick Bailey C | SF,7,.285,29,48,1,480
W ,Joey Votto 1B | TOR ,14,.314,26,38,0,483
Magnum GI,Logan O'Hoppe C | LAA,14,.296,23,29,0,485
W ,Kris Bryant DH | COL ,10,.313,36,31,0,488
W ,Kevin Newman 3B | LAA ,3,.311,28,28,8,492
W ,"Brett Baty 2B,3B | NYM ",9,.275,41,34,2,494
W ,Garrett Hampson OF | STL,3,.349,30,23,5,500
W ,Trevor Larnach OF | MIN,8,.311,26,40,1,502
W ,J.J. Bleday OF | ATH ,10,.310,35,27,5,503
W ,"Jake Bauers 1B,OF | MIL ",12,.279,28,30,3,505
W ,Pablo Reyes OF | NYM ,2,.339,27,20,7,508
W ,Nick Pratto 1B | KC,7,.307,33,35,1,509
W ,Kyle Higashioka C | TEX,10,.274,24,34,0,511
W ,DJ Stewart OF | PIT ,11,.333,21,26,1,512
W ,Oswaldo Cabrera 3B | NYY ,5,.275,35,29,8,513
W ,Rob Refsnyder OF | BOS,1,.365,31,28,7,514
Gashouse Gang,Sal Frelick OF | MIL,3,.341,29,24,7,517
W ,Emmanuel Rivera 3B | BAL ,4,.315,32,29,1,518
W ,Matt Thaiss C | TB ,9,.319,32,31,2,519
Young Guns,Tyler O'Neill OF | BAL ,9,.312,27,21,5,520
W ,Liover Peguero SS | PIT ,7,.280,21,26,6,523
W ,Ildemaro Vargas 2B | ARI ,4,.304,32,31,1,527
W ,Yasmani Grandal C | PIT,8,.309,33,33,0,529
W ,"Gabriel Arias 2B,SS | CLE",10,.275,36,26,3,530
W ,Yuli Gurriel DH | SD,4,.304,32,27,4,531
W ,Martin Maldonado C | SD,15,.258,33,36,0,532
W ,Evan Longoria 3B | ARI,11,.295,25,28,0,537
W ,"Davis Schneider 2B,OF | TOR",8,.404,23,20,1,538
W ,Gio Urshela 3B | ATH,2,.329,22,24,3,539
Simba's Dublin Green Sox,"Miguel Vargas 1B,3B | CHW",7,.305,36,32,3,542
Trex,Vinnie Pasquantino 1B | KC,9,.324,24,26,0,545
W ,Eduardo Escobar 3B | TOR ,6,.270,32,31,2,546
W ,Gavin Sheets OF | SD,10,.267,24,43,1,547
W ,Raimel Tapia OF | TB,3,.317,28,13,10,548
W ,Victor Caratini C | HOU,7,.327,23,25,1,550
Rieken Havoc,Jordan Westburg 3B | BAL,3,.311,26,23,4,557
W ,Christian Vazquez C | MIN,6,.280,34,32,1,559
W ,Enmanuel Valdez 1B | PIT ,6,.311,17,19,5,562
W ,Austin Slater OF | NYY,5,.348,24,20,2,563
W ,Nicky Lopez 3B | ARI ,1,.326,32,25,6,564
W ,Tom Murphy C | SF ,8,.335,19,17,0,569
W ,Alan Trejo SS | COL ,4,.288,24,26,5,571
W ,James McCann C | ARI ,6,.269,25,26,3,576
W ,Blake Perkins OF | MIL,4,.325,28,20,5,577
Guillotine,"Noelvi Marte 3B,OF | CIN",3,.366,15,15,6,578
W ,Zack Short SS | HOU ,7,.292,17,33,5,582
W ,Henry Davis C | PIT,7,.302,27,24,3,583
W ,Dylan Carlson OF | BAL ,5,.318,27,27,3,584
W ,"Dylan Moore 2B,OF | TEX",7,.303,18,19,7,585
W ,Santiago Espinal 3B | CIN ,2,.309,30,25,2,587
W ,Trey Mancini 1B | ARI ,4,.299,31,28,0,590
W ,Nick Fortes C | TB,6,.263,33,26,4,594
W ,"Miles Mastrobuoni 3B,OF | SEA",1,.308,24,5,13,598
W ,Oscar Colas OF | CHW,5,.257,32,19,4,602
W ,Ryan McKenna OF | SF ,2,.316,23,18,5,604
W ,Mitch Haniger OF | SEA,6,.266,27,28,1,607
W ,Pavin Smith 1B | ARI ,7,.317,26,30,1,611
W ,Jordan Diaz 3B | ATH ,10,.273,20,27,0,612
W ,Tyler Freeman OF | COL ,4,.295,20,18,5,613
W ,Harold Castro 2B | KC,1,.275,24,31,1,618
W ,Parker Meadows OF | DET,3,.338,19,13,8,620
W ,Luke Maile C | KC,6,.308,17,25,2,623
W ,"Casey Schmitt 2B,3B | SF ",5,.256,28,30,2,625
W ,Joey Wendle 2B | ATL ,2,.248,33,20,7,635
W ,Nick Allen SS | HOU ,4,.263,29,20,5,637
W ,Evan Carter OF | TEX ,5,.413,15,12,3,639
W ,Nick Maton DH | CHW ,8,.288,29,32,1,641
Big Sticks,Dominic Canzone OF | SEA,6,.258,23,21,1,646
W ,Christian Arroyo 2B | PHI,3,.268,23,24,1,648
