All First Basemen 2024  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
MAGA DOGE ,Vladimir Guerrero Jr. 1B | TOR,30,.396,98,103,2,13
W ,Nicholas Vizcaino 1B | ATL ,0,.000,0,0,0,9999
W ,DJ Gladney 1B | CHW ,0,.000,0,0,0,9999
W ,Ryan Nicholson 1B | LAA ,0,.000,0,0,0,9999
W ,Austin Byler 1B | ARI ,0,.000,0,0,0,9999
W ,Chase McDonald 1B | HOU ,0,.000,0,0,0,9999
W ,PK Morris 1B | TOR ,0,.000,0,0,0,9999
W ,Dennis Raben 1B | SEA ,0,.000,0,0,0,9999
W ,Spencer Henson 1B | NYY ,0,.000,0,0,0,9999
W ,D.J. Stewart 1B | PHI ,0,.000,0,0,0,9999
W ,Griffin Benson 1B | ATL ,0,.000,0,0,0,9999
W ,Warming Bernabel 1B | COL ,0,.000,0,0,0,9999
W ,Avain Rachal 1B | CIN ,0,.000,0,0,0,9999
W ,Carmen Benedetti 1B | HOU ,0,.000,0,0,0,9999
W ,Joe Vetrano 1B | LAD ,0,.000,0,0,0,9999
W ,Brock Vradenburg 1B | MIA ,0,.000,0,0,0,9999
W ,Andrew Jenkins 1B | DET ,0,.000,0,0,0,9999
W ,Nick Cimillo 1B | PIT ,0,.000,0,0,0,9999
W ,Tyler Moore 1B | NYM ,0,.000,0,0,0,9999
W ,Dalton Kelly 1B | MIN ,0,.000,0,0,0,9999
W ,Nellie Rodriguez 1B | CLE ,0,.000,0,0,0,9999
W ,Colby Lusignan 1B | MIA ,0,.000,0,0,0,9999
W ,Joey Rose 1B | ARI ,0,.000,0,0,0,9999
W ,Jackson Coutts 1B | WAS ,0,.000,0,0,0,9999
W ,Keoni Cavaco 1B | MIN ,0,.000,0,0,0,9999
W ,Danny Hayes 1B | CHW ,0,.000,0,0,0,9999
W ,Chris Gittens 1B | HOU ,0,.000,0,0,0,9999
W ,Kewby Meyer 1B | TB ,0,.000,0,0,0,9999
W ,Shawn Pleffner 1B | WAS ,0,.000,0,0,0,9999
W ,Xavier Isaac 1B | TB ,0,.000,0,0,0,9999
W ,Xavier Casserilla 1B | HOU ,0,.000,0,0,0,9999
W ,Jake Holton 1B | DET ,0,.000,0,0,0,9999
W ,Robert Perez 1B | SD ,0,.000,0,0,0,9999
W ,Jackson Feltner 1B | ARI ,0,.000,0,0,0,9999
W ,Tyler White 1B | MIN ,0,.000,0,0,0,9999
W ,Sam Brown 1B | WAS ,0,.000,0,0,0,9999
W ,Mitch Reeves 1B | CLE ,0,.000,0,0,0,9999
W ,Cesar Idrogo 1B | CLE ,0,.000,0,0,0,9999
W ,Ruben Santana 1B | ARI ,0,.000,0,0,0,9999
W ,Ronald Guzman 1B | BAL ,0,.000,0,0,0,9999
W ,Wes Clarke 1B | MIL ,0,.000,0,0,0,9999
W ,Ricky Oropesa 1B | SF ,0,.000,0,0,0,9999
W ,Japhet Amador 1B | HOU ,0,.000,0,0,0,9999
W ,Will Matthiessen 1B | PIT ,0,.000,0,0,0,9999
W ,Jason Pineda 1B | SD ,0,.000,0,0,0,9999
W ,Leonardo Seminati 1B | CIN ,0,.000,0,0,0,9999
W ,Peyton Williams 1B | TOR ,0,.000,0,0,0,9999
W ,Chad Castillo 1B | PHI ,0,.000,0,0,0,9999
W ,Will Maddox 1B | SF ,0,.000,0,0,0,9999
W ,Rixon Taylor-Wingrove 1B | PHI ,0,.000,0,0,0,9999
W ,Jake Lamb 1B | SF ,0,.000,0,0,0,9999
W ,Lewin Diaz 1B | WAS ,0,.000,0,0,0,9999
W ,Drew Ellis 1B | PHI,0,.000,0,0,0,9999
W ,Luis Torres 1B | LAA ,0,.000,0,0,0,9999
W ,"Liam Hicks C,1B | MIA",0,.000,0,0,0,9999
W ,Dan Black 1B | MIA ,0,.000,0,0,0,9999
W ,Ryan Holgate 1B | STL ,0,.000,0,0,0,9999
W ,Imanol Vargas 1B | PIT ,0,.000,0,0,0,9999
W ,Ryan Clifford 1B | NYM ,0,.000,0,0,0,9999
W ,Conrad Gregor 1B | BOS ,0,.000,0,0,0,9999
W ,Josiah Sightler 1B | PIT ,0,.000,0,0,0,9999
W ,TT Bowens 1B | BAL ,0,.000,0,0,0,9999
W ,Gabe Snyder 1B | MIN ,0,.000,0,0,0,9999
W ,Chase Strumpf 1B | CHC ,0,.000,0,0,0,9999
W ,Daniel Palka 1B | BOS ,0,.000,0,0,0,9999
W ,Joe Suozzi 1B | NYM ,0,.000,0,0,0,9999
W ,Troy Sieber 1B | HOU ,0,.000,0,0,0,9999
W ,Quincy Nieporte 1B | DET ,0,.000,0,0,0,9999
W ,Freddvil Chevez 1B | TB ,0,.000,0,0,0,9999
W ,Quinton Low 1B | MIL ,0,.000,0,0,0,9999
W ,Callan Moss 1B | PIT ,0,.000,0,0,0,9999
W ,Cameron Seitzer 1B | TB ,0,.000,0,0,0,9999
W ,Mahki Backstrom 1B | ATL ,0,.000,0,0,0,9999
W ,Aidan Longwell 1B | COL ,0,.000,0,0,0,9999
W ,Lucas Tancas 1B | PIT ,0,.000,0,0,0,9999
W ,Ryan Casteel 1B | ATL ,0,.000,0,0,0,9999
W ,Rickardo Perez 1B | PHI ,0,.000,0,0,0,9999
W ,Nick Solak 1B | PIT,0,.000,0,0,0,9999
W ,Landon Stephens 1B | ATL ,0,.000,0,0,0,9999
W ,Ramon Hernandez 1B | ARI ,0,.000,0,0,0,9999
W ,Chad Christensen 1B | MIN ,0,.000,0,0,0,9999
W ,Matt Winaker 1B | NYM ,0,.000,0,0,0,9999
W ,Griffin Lockwood-Powell 1B | LAD ,0,.000,0,0,0,9999
W ,Endy Rodriguez 1B | PIT ,0,.000,0,0,0,9999
W ,Felix Stevens 1B | CHC ,0,.000,0,0,0,9999
W ,Matt Beaty 1B | KC,0,.000,0,0,0,9999
W ,Roberto Ramos 1B | BOS ,0,.000,0,0,0,9999
W ,Justin Yurchak 1B | LAD,0,.000,0,0,0,9999
W ,Cole Zabowski 1B | COL ,0,.000,0,0,0,9999
W ,Nick Longhi 1B | COL ,0,.000,0,0,0,9999
W ,J.D. Mundy 1B | BAL ,0,.000,0,0,0,9999
W ,Blaze Jordan 1B | STL ,0,.000,0,0,0,9999
W ,Brandt Stallings 1B | CIN ,0,.000,0,0,0,9999
W ,Wes Kath 1B | CHW ,0,.000,0,0,0,9999
W ,Drew Lugbauer 1B | ATH ,0,.000,0,0,0,9999
W ,C.J. Cron 1B | BOS ,0,.000,0,0,0,9999
W ,Victor Bericoto 1B | SF,0,.000,0,0,0,9999
W ,Darick Hall 1B | PIT ,0,.000,0,0,0,9999
W ,Cam Collier 1B | CIN ,0,.000,0,0,0,9999
W ,Evan Edwards 1B | TB ,0,.000,0,0,0,9999
Report Updated as of  12/19/25  1:55 PM EST
