All Third Basemen 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Luke Ritter 3B | NYM ,0,.000,0,0,0,9999
W ,Dylan Jasso 3B | NYY ,0,.000,0,0,0,9999
W ,"Brooks Lee 2B,3B,SS | MIN",0,.000,0,0,0,9999
W ,Vimael Machin 3B | BAL,0,.000,0,0,0,9999
W ,Will Wagner 3B | SD,0,.000,0,0,0,9999
W ,Marty Herum 3B | ARI ,0,.000,0,0,0,9999
W ,Riley Tirotta 3B | TOR ,0,.000,0,0,0,9999
W ,Arxy Hernandez 3B | CHW ,0,.000,0,0,0,9999
W ,Max Wagner 3B | BAL ,0,.000,0,0,0,9999
W ,Reid Redman 3B | KC ,0,.000,0,0,0,9999
W ,Dalvy Rosario 3B | MIA ,0,.000,0,0,0,9999
W ,Andrew Bechtold 3B | PHI ,0,.000,0,0,0,9999
W ,Cade McGee 3B | STL ,0,.000,0,0,0,9999
W ,Charles McAdoo 3B | TOR ,0,.000,0,0,0,9999
W ,Jacob Reimer 3B | NYM ,0,.000,0,0,0,9999
W ,"Jose Iglesias 2B,3B,SS | SD",0,.000,0,0,0,9999
W ,Carlos Mendoza 3B | DET ,0,.000,0,0,0,9999
W ,Cole Fontenelle 3B | LAA ,0,.000,0,0,0,9999
W ,Duncan Pastore 3B | NYY ,0,.000,0,0,0,9999
W ,Jake Means 3B | KC ,0,.000,0,0,0,9999
W ,Jose Peroza 3B | NYM ,0,.000,0,0,0,9999
W ,Bryce Willits 3B | CHW ,0,.000,0,0,0,9999
W ,Tyler Rodriguez 3B | MIL ,0,.000,0,0,0,9999
W ,Filippo Di Turi 3B | MIL ,0,.000,0,0,0,9999
W ,Parks Harber 3B | SF ,0,.000,0,0,0,9999
W ,Skyler Messinger 3B | COL ,0,.000,0,0,0,9999
W ,Alberti Chavez 3B | CIN ,0,.000,0,0,0,9999
W ,Luiyin Alastre 3B | MIL ,0,.000,0,0,0,9999
W ,Graham Pauley 3B | MIA,0,.000,0,0,0,9999
W ,Alex Freeland 3B | LAD,0,.000,0,0,0,9999
W ,Jordan Edgerton 3B | ATL ,0,.000,0,0,0,9999
W ,Christopher Paciolla 3B | CHC ,0,.000,0,0,0,9999
W ,Adam Walton 3B | ARI ,0,.000,0,0,0,9999
W ,Myles Naylor 3B | ATH ,0,.000,0,0,0,9999
W ,Luis Toribio 3B | SF ,0,.000,0,0,0,9999
W ,Oliver Dunn 3B | MIL ,0,.000,0,0,0,9999
W ,Abdiel Layer 3B | SF ,0,.000,0,0,0,9999
W ,Luis Suisbel 3B | SEA ,0,.000,0,0,0,9999
W ,Cayden Wallace 3B | WAS ,0,.000,0,0,0,9999
W ,Matt Kroon 3B | PHI,0,.000,0,0,0,9999
W ,Drew Ward 3B | WAS ,0,.000,0,0,0,9999
W ,Josh Hammond 3B | KC ,0,.000,0,0,0,9999
W ,Starlin Aguilar 3B | SEA,0,.000,0,0,0,9999
W ,Luis De Los Santos 3B | TOR,0,.000,0,0,0,9999
W ,Marcos Almonte 3B | HOU ,0,.000,0,0,0,9999
W ,Kyle Datres 3B | COL ,0,.000,0,0,0,9999
W ,Ulysses Cantu 3B | CLE ,0,.000,0,0,0,9999
W ,Jairo Perez 3B | MIN ,0,.000,0,0,0,9999
W ,David McCabe 3B | ATL ,0,.000,0,0,0,9999
W ,Brady House 3B | WAS,0,.000,0,0,0,9999
W ,Erick Mejia 3B | WAS ,0,.000,0,0,0,9999
W ,Jackson Glenn 3B | PIT ,0,.000,0,0,0,9999
W ,Evan Mendoza 3B | SD ,0,.000,0,0,0,9999
W ,Brandon Howlett 3B | BOS ,0,.000,0,0,0,9999
W ,Sean Roby 3B | MIA ,0,.000,0,0,0,9999
W ,"Javier Sanoja 2B,3B,OF | MIA",0,.000,0,0,0,9999
W ,Brandon Trinkwon 3B | LAD ,0,.000,0,0,0,9999
W ,Echedry Vargas 3B | MIA ,0,.000,0,0,0,9999
W ,Blake Rambusch 3B | SEA ,0,.000,0,0,0,9999
W ,Aderlin Rodriguez 3B | SD ,0,.000,0,0,0,9999
W ,Alay Lago 3B | ATL ,0,.000,0,0,0,9999
W ,Deniel Ortiz 3B | STL ,0,.000,0,0,0,9999
W ,Nate Tenbrink 3B | SEA ,0,.000,0,0,0,9999
W ,Michael Snyder 3B | MIA ,0,.000,0,0,0,9999
W ,Jeffrey Mercedes 3B | CLE ,0,.000,0,0,0,9999
W ,Amador Arias 3B | SEA ,0,.000,0,0,0,9999
W ,Kevin Sim 3B | ARI ,0,.000,0,0,0,9999
W ,Cade Harris 3B | COL ,0,.000,0,0,0,9999
W ,Austin Charles 3B | KC,0,.000,0,0,0,9999
W ,Max Burt 3B | NYY ,0,.000,0,0,0,9999
W ,Mark Minicozzi 3B | WAS ,0,.000,0,0,0,9999
W ,Rayne Doncon 3B | MIN ,0,.000,0,0,0,9999
W ,Jhonny Severino 3B | PIT ,0,.000,0,0,0,9999
W ,Nick Podkul 3B | CHW ,0,.000,0,0,0,9999
W ,Joseph Astacio 3B | TB ,0,.000,0,0,0,9999
W ,Joshua Liranzo 3B | BAL ,0,.000,0,0,0,9999
W ,Andy Weber 3B | ARI ,0,.000,0,0,0,9999
W ,Mauricio Ramos 3B | KC ,0,.000,0,0,0,9999
W ,Juan Baez 3B | MIL ,0,.000,0,0,0,9999
W ,Logan Wagner 3B | LAD ,0,.000,0,0,0,9999
W ,Agustin Murillo 3B | ARI ,0,.000,0,0,0,9999
W ,"Daniel Schneemann 2B,3B,OF | CLE",0,.000,0,0,0,9999
W ,Sergio Alcantara 3B | ARI,0,.000,0,0,0,9999
W ,Malcom Nunez 3B | PIT ,0,.000,0,0,0,9999
W ,Austin Deming 3B | HOU,0,.000,0,0,0,9999
W ,Fidel Pena 3B | ARI ,0,.000,0,0,0,9999
W ,Josue Huma 3B | CHC ,0,.000,0,0,0,9999
W ,Cam Devanney 3B | PIT ,0,.000,0,0,0,9999
W ,Joe Sclafani 3B | HOU ,0,.000,0,0,0,9999
W ,Anthony Rodriguez 3B | SF,0,.000,0,0,0,9999
W ,Matt Juengel 3B | MIA ,0,.000,0,0,0,9999
W ,Luis Almanzar 3B | SD ,0,.000,0,0,0,9999
W ,Joe Rizzo 3B | MIA ,0,.000,0,0,0,9999
W ,Austin St. Laurent 3B | SEA ,0,.000,0,0,0,9999
W ,Mitch Delfino 3B | SF ,0,.000,0,0,0,9999
W ,Nick Northcut 3B | CIN ,0,.000,0,0,0,9999
W ,Carlos Vargas 3B | TB ,0,.000,0,0,0,9999
W ,Yassel Pino 3B | CIN ,0,.000,0,0,0,9999
W ,Nacho Alvarez Jr. 3B | ATL,0,.000,0,0,0,9999
W ,Connor Panas 3B | SD ,0,.000,0,0,0,9999
W ,Eudy Ramos 3B | ARI ,0,.000,0,0,0,9999
W ,Tucker Toman 3B | TOR ,0,.000,0,0,0,9999
W ,Brock Wilken 3B | MIL ,0,.000,0,0,0,9999
W ,Anderson Feliz 3B | BAL ,0,.000,0,0,0,9999
W ,Ronny Brito 3B | LAD ,0,.000,0,0,0,9999
W ,Michael Osinski 3B | BOS ,0,.000,0,0,0,9999
W ,Diego Gonzalez 3B | PHI ,0,.000,0,0,0,9999
W ,Nathaniel Ochoa Leyva 3B | WAS ,0,.000,0,0,0,9999
W ,Andy Lugo 3B | BOS ,0,.000,0,0,0,9999
W ,Cole Foster 3B | SF ,0,.000,0,0,0,9999
W ,Taylor Sparks 3B | CIN ,0,.000,0,0,0,9999
W ,Hans Montero 3B | NYY ,0,.000,0,0,0,9999
W ,Danny Diaz 3B | BOS ,0,.000,0,0,0,9999
W ,Jorgelys Mota 3B | WAS ,0,.000,0,0,0,9999
W ,T.J. Schofield-Sam 3B | ATH ,0,.000,0,0,0,9999
W ,Winder Diaz 3B | WAS ,0,.000,0,0,0,9999
W ,Delvin Perez 3B | STL ,0,.000,0,0,0,9999
W ,Jake Gatewood 3B | LAA ,0,.000,0,0,0,9999
W ,Michael Benjamin 3B | COL ,0,.000,0,0,0,9999
W ,Daniel Lockhart 3B | ATL ,0,.000,0,0,0,9999
W ,Gavin LaValley 3B | CIN ,0,.000,0,0,0,9999
W ,Yariel Gonzalez 3B | ATL ,0,.000,0,0,0,9999
W ,CJ Alexander 3B | LAD ,0,.000,0,0,0,9999
W ,Izaac Pacheco 3B | DET ,0,.000,0,0,0,9999
W ,Davis Wendzel 3B | CIN ,0,.000,0,0,0,9999
W ,"Colt Keith 2B,3B | DET",0,.000,0,0,0,9999
W ,Brian Schales 3B | DET ,0,.000,0,0,0,9999
W ,Freili Encarnacion 3B | BOS ,0,.000,0,0,0,9999
W ,Yassel Soler 3B | ARI ,0,.000,0,0,0,9999
W ,Carson DeMartini 3B | PHI ,0,.000,0,0,0,9999
W ,Danny Diekroeger 3B | STL ,0,.000,0,0,0,9999
W ,Jim Haley 3B | PHI,0,.000,0,0,0,9999
W ,Blaze Alexander 3B | ARI,0,.000,0,0,0,9999
W ,Eduardo Garcia 3B | MIL ,0,.000,0,0,0,9999
W ,Jace Jung 3B | DET,0,.000,0,0,0,9999
W ,Randy Cesar 3B | MIN ,0,.000,0,0,0,9999
W ,Braxton Martinez 3B | LAA ,0,.000,0,0,0,9999
W ,Tyler Selesky 3B | SD ,0,.000,0,0,0,9999
W ,Yunior Severino 3B | MIN ,0,.000,0,0,0,9999
W ,Jordan Groshans 3B | KC ,0,.000,0,0,0,9999
W ,Andrew Fischer 3B | MIL ,0,.000,0,0,0,9999
W ,James Nelson 3B | MIA ,0,.000,0,0,0,9999
W ,Charlie Pagliarini 3B | SEA ,0,.000,0,0,0,9999
W ,Kleininger Teran 3B | STL ,0,.000,0,0,0,9999
W ,Camilo Diaz 3B | HOU ,0,.000,0,0,0,9999
W ,Sean Keys 3B | TOR ,0,.000,0,0,0,9999
W ,Jacob Gonzalez 3B | PIT ,0,.000,0,0,0,9999
W ,Steven Fuentes 3B | DET ,0,.000,0,0,0,9999
W ,Otto Kemp 3B | PHI ,0,.000,0,0,0,9999
W ,Jonny Homza 3B | SD ,0,.000,0,0,0,9999
W ,Kirvin Moesquit 3B | BAL ,0,.000,0,0,0,9999
W ,Walker Martin 3B | SF ,0,.000,0,0,0,9999
W ,Dariel Lopez 3B | PIT ,0,.000,0,0,0,9999
W ,John Aiello 3B | TOR ,0,.000,0,0,0,9999
W ,Marcelo Mayer 3B | BOS ,0,.000,0,0,0,9999
W ,Nicolas Torres 3B | PHI ,0,.000,0,0,0,9999
W ,Caleb Cali 3B | SEA ,0,.000,0,0,0,9999
W ,Paul Hoenecke 3B | LAD ,0,.000,0,0,0,9999
W ,Gabriel Rodriguez 3B | CLE ,0,.000,0,0,0,9999
W ,Matthew Alifano 3B | PHI ,0,.000,0,0,0,9999
W ,Peter Maris 3B | SF ,0,.000,0,0,0,9999
W ,Connor Norby 3B | MIA,0,.000,0,0,0,9999
W ,Brett Harris 3B | ATH ,0,.000,0,0,0,9999
W ,Devin Mann 3B | KC ,0,.000,0,0,0,9999
W ,Javier Osorio 3B | DET ,0,.000,0,0,0,9999
