All Outfielders 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,C.J. Pittaro OF | ATH ,0,.000,0,0,0,9999
W ,London Lindley OF | TEX ,0,.000,0,0,0,9999
W ,Tristan Peters OF | CHW ,0,.000,0,0,0,9999
W ,Ranyelmy Mendoza OF | LAA ,0,.000,0,0,0,9999
W ,Jake Fox OF | CLE ,0,.000,0,0,0,9999
W ,Mariel Bautista OF | CIN ,0,.000,0,0,0,9999
W ,Luis Rodriguez OF | LAD ,0,.000,0,0,0,9999
W ,Robert Gonzalez OF | TEX ,0,.000,0,0,0,9999
W ,Brendon Davis OF | LAD ,0,.000,0,0,0,9999
W ,Braxton Davidson OF | ATL ,0,.000,0,0,0,9999
W ,Tyler Hill OF | COL ,0,.000,0,0,0,9999
W ,Torii Hunter OF | LAA ,0,.000,0,0,0,9999
W ,Carlos Arroyo OF | TEX ,0,.000,0,0,0,9999
W ,Charcer Burks OF | CHC ,0,.000,0,0,0,9999
W ,Jackson Castillo OF | NYY ,0,.000,0,0,0,9999
W ,Nelson Rada OF | LAA ,0,.000,0,0,0,9999
W ,Troy Johnston OF | COL ,0,.000,0,0,0,9999
W ,Diego Infante OF | MIA ,0,.000,0,0,0,9999
W ,Gavin Conticello OF | ARI ,0,.000,0,0,0,9999
W ,Dorssys Paulino OF | CLE ,0,.000,0,0,0,9999
W ,Nomar Fana OF | DET ,0,.000,0,0,0,9999
W ,Aaron Zavala OF | TEX ,0,.000,0,0,0,9999
W ,Cutter Dykstra OF | WAS ,0,.000,0,0,0,9999
W ,Brewer Hicklen OF | PHI ,0,.000,0,0,0,9999
W ,J.P. Sportman OF | ATH ,0,.000,0,0,0,9999
W ,Parker Bates OF | KC ,0,.000,0,0,0,9999
W ,Madison Santos OF | NYY ,0,.000,0,0,0,9999
W ,Narciso Mesa OF | WAS ,0,.000,0,0,0,9999
W ,Jared Dickey OF | ATH ,0,.000,0,0,0,9999
W ,River Town OF | KC ,0,.000,0,0,0,9999
W ,Caleb Adams OF | LAA ,0,.000,0,0,0,9999
W ,Samuel Zavala OF | CHW ,0,.000,0,0,0,9999
W ,Yoelqui Cespedes OF | CHW ,0,.000,0,0,0,9999
W ,Rayner Arias OF | SF ,0,.000,0,0,0,9999
