All Catchers 2021  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Trex,"Salvador Perez C,1B | KC ",48,.316,88,121,1,9
W ,Adam Hackenberg C | CHW ,0,.000,0,0,0,9999
W ,Allan de San Miguel C | KC ,0,.000,0,0,0,9999
W ,Ryan Stafford C | BAL ,0,.000,0,0,0,9999
W ,Ricardo Olivar C | MIN ,0,.000,0,0,0,9999
W ,Cade Hunter C | CIN ,0,.000,0,0,0,9999
W ,Will Bartlett C | CLE ,0,.000,0,0,0,9999
W ,Drew Romo C | NYM ,0,.000,0,0,0,9999
W ,Chris Hoo C | MIA ,0,.000,0,0,0,9999
W ,Ryan Scott C | SEA ,0,.000,0,0,0,9999
W ,Ryan Wrobleski C | HOU ,0,.000,0,0,0,9999
W ,Andy Thomas C | SD ,0,.000,0,0,0,9999
W ,Isaias Quiroz C | TEX ,0,.000,0,0,0,9999
W ,Jonathan Schwind C | PIT ,0,.000,0,0,0,9999
W ,Ruben Castro C | HOU ,0,.000,0,0,0,9999
W ,Stephen McGee C | SD ,0,.000,0,0,0,9999
W ,Charlie Valerio C | SD ,0,.000,0,0,0,9999
W ,Caden Bodine C | BAL ,0,.000,0,0,0,9999
W ,Jesus Ordonez C | COL ,0,.000,0,0,0,9999
W ,Mac James C | TB ,0,.000,0,0,0,9999
W ,Jonathan Aceves C | CHW ,0,.000,0,0,0,9999
W ,"Liam Hicks C,1B | MIA",0,.000,0,0,0,9999
W ,Ronald Hernandez C | NYM ,0,.000,0,0,0,9999
Magnum GI,Logan O'Hoppe C | LAA,0,.000,0,0,0,9999
W ,Michael Oliveto C | DET ,0,.000,0,0,0,9999
W ,Jose Hernandez C | NYM ,0,.000,0,0,0,9999
W ,Braxton Fulford C | COL,0,.000,0,0,0,9999
W ,Morgan Lofstrom C | CIN ,0,.000,0,0,0,9999
W ,Franklin Navarro C | LAA ,0,.000,0,0,0,9999
W ,Braeden Schlehuber C | ATL ,0,.000,0,0,0,9999
W ,Jeferson Quero C | MIL,0,.000,0,0,0,9999
W ,Juan Fernandez C | SD ,0,.000,0,0,0,9999
W ,Bennett Thompson C | CLE ,0,.000,0,0,0,9999
W ,Garrett Boulware C | CIN ,0,.000,0,0,0,9999
W ,Michael Papierski C | SEA ,0,.000,0,0,0,9999
W ,David Martin C | ARI ,0,.000,0,0,0,9999
W ,Tayden Hall C | MIL ,0,.000,0,0,0,9999
W ,Colby Fitch C | PHI ,0,.000,0,0,0,9999
W ,Zach Humphreys C | LAA ,0,.000,0,0,0,9999
W ,Jose Alvarez C | STL ,0,.000,0,0,0,9999
