All Utility Players 2024  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Corey Julks OF | CHW,3,.275,17,14,5,745
W ,Rece Hinds OF | CIN,5,.333,9,11,2,746
W ,Garrett Hampson OF | STL,0,.275,16,16,7,750
W ,Dylan Carlson OF | BAL ,3,.287,19,25,2,753
W ,Alek Thomas OF | ARI ,3,.245,13,17,4,754
W ,Wilmer Flores 1B | SF,4,.277,19,26,0,755
W ,Grant McCray OF | SF,5,.238,13,10,5,757
W ,Andruw Monasterio SS | MIL,1,.303,14,16,6,760
W ,Jordan Walker OF | STL ,5,.253,16,20,1,763
Long Balls,Trevor Story SS | BOS ,2,.340,8,10,6,767
W ,Robbie Grossman OF | KC,3,.322,21,16,3,768
W ,Nick Ahmed SS | TEX,2,.267,20,17,2,769
W ,Trey Sweeney SS | DET,4,.269,11,17,2,770
W ,Anthony Rendon 3B | LAA ,0,.307,21,14,6,772
W ,Kyle McCann C | ATH ,5,.319,13,15,0,773
W ,"Angel Martinez 2B,OF | CLE",3,.298,16,11,3,775
W ,Griffin Conine OF | MIA ,3,.326,14,12,0,776
W ,Matt Carpenter DH | STL,4,.314,15,15,0,779
W ,"Brett Baty 2B,3B | NYM ",4,.306,15,16,0,782
W ,Heston Kjerstad OF | BAL ,4,.351,8,14,1,786
W ,Nasim Nunez SS | WAS,0,.370,14,1,8,787
W ,Nathan Lukes OF | TOR,1,.371,13,10,1,789
