All Second Basemen 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Simba's Dublin Green Sox,Brice Turang 2B | MIL,18,.359,97,81,24,26
W ,Esteban Quiroz 2B | PHI ,0,.000,0,0,0,9999
W ,Ray Chang 2B | CIN ,0,.000,0,0,0,9999
W ,Daniel Guilarte 2B | MIL ,0,.000,0,0,0,9999
W ,Reinaldo Ilarraza 2B | SD ,0,.000,0,0,0,9999
W ,Taylor Snyder 2B | CHW,0,.000,0,0,0,9999
W ,Max Anderson 2B | DET ,0,.000,0,0,0,9999
W ,Jose Salas 2B | MIN ,0,.000,0,0,0,9999
W ,Irving Lopez 2B | STL,0,.000,0,0,0,9999
W ,Tyler Friis 2B | CLE ,0,.000,0,0,0,9999
W ,Anthony Servideo 2B | BAL ,0,.000,0,0,0,9999
W ,Patrick Brady 2B | SEA ,0,.000,0,0,0,9999
W ,Hutton Moyer 2B | LAA ,0,.000,0,0,0,9999
W ,Manny Jefferson 2B | ARI ,0,.000,0,0,0,9999
W ,Corey Wimberly 2B | MIN ,0,.000,0,0,0,9999
W ,Juan Perez 2B | CHW ,0,.000,0,0,0,9999
W ,Trent Gilbert 2B | ATH ,0,.000,0,0,0,9999
W ,Hogan Windish 2B | SEA ,0,.000,0,0,0,9999
W ,Hunter Stovall 2B | COL ,0,.000,0,0,0,9999
W ,Maxx Tissenbaum 2B | COL ,0,.000,0,0,0,9999
W ,Sam Antonacci 2B | CHW ,0,.000,0,0,0,9999
W ,Alvaro Rubalcaba 2B | LAA ,0,.000,0,0,0,9999
W ,Jonathan Piron 2B | COL ,0,.000,0,0,0,9999
W ,Luke Dykstra 2B | ATL ,0,.000,0,0,0,9999
W ,Wade Kirkland 2B | ATH ,0,.000,0,0,0,9999
W ,Daniel Bravo 2B | SD ,0,.000,0,0,0,9999
W ,Adrian Pinto 2B | TOR ,0,.000,0,0,0,9999
W ,Angel Arevalo 2B | ATH ,0,.000,0,0,0,9999
W ,Robbie Tenerowicz 2B | SEA,0,.000,0,0,0,9999
W ,Colby Halter 2B | ATH ,0,.000,0,0,0,9999
W ,Alfredo Angarita 2B | HOU ,0,.000,0,0,0,9999
W ,Grant Williams 2B | BOS ,0,.000,0,0,0,9999
W ,Taylor Young 2B | LAD ,0,.000,0,0,0,9999
W ,Ruben Sosa 2B | KC,0,.000,0,0,0,9999
W ,D.J. Burt 2B | KC ,0,.000,0,0,0,9999
W ,Rougned Jose Odor 2B | TEX ,0,.000,0,0,0,9999
W ,Kyle McPherson 2B | SF ,0,.000,0,0,0,9999
W ,Rafael P Valera 2B | MIN ,0,.000,0,0,0,9999
W ,Jace Conrad 2B | TB ,0,.000,0,0,0,9999
W ,Luis Marquez 2B | TEX ,0,.000,0,0,0,9999
W ,Loidel Chapelli 2B | CHW ,0,.000,0,0,0,9999
W ,Dylan O'Rae 2B | MIL ,0,.000,0,0,0,9999
W ,James Triantos 2B | CHC ,0,.000,0,0,0,9999
W ,Richie Martin 2B | LAA ,0,.000,0,0,0,9999
W ,Eddinson Paulino 2B | TOR ,0,.000,0,0,0,9999
W ,Corey Jones 2B | DET,0,.000,0,0,0,9999
W ,Eddy Alvarez 2B | ATL ,0,.000,0,0,0,9999
W ,Aron Estrada 2B | BAL ,0,.000,0,0,0,9999
W ,Derrik Gibson 2B | COL ,0,.000,0,0,0,9999
W ,Andrew Daniel 2B | ATL,0,.000,0,0,0,9999
W ,Carlos Penalver 2B | CHC ,0,.000,0,0,0,9999
W ,Miguel Hiraldo 2B | TOR ,0,.000,0,0,0,9999
W ,Rikelbin De Castro 2B | TOR,0,.000,0,0,0,9999
W ,Cole Freeman 2B | WAS ,0,.000,0,0,0,9999
W ,Yonathan Perlaza 2B | SD ,0,.000,0,0,0,9999
W ,Peyton Stovall 2B | CIN ,0,.000,0,0,0,9999
W ,Angel Rojas 2B | NYY ,0,.000,0,0,0,9999
W ,Dayner Moreira 2B | SEA ,0,.000,0,0,0,9999
W ,Diosbel Arias 2B | TEX ,0,.000,0,0,0,9999
W ,Juan Brito 2B | CLE ,0,.000,0,0,0,9999
W ,Fabian Pertuz 2B | CHC ,0,.000,0,0,0,9999
