All First Basemen 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Simba's Dublin Green Sox,Pete Alonso 1B | BAL ,38,.347,87,126,1,21
W ,Haydn McGeary 1B | CHC,0,.000,0,0,0,9999
W ,Brandon Dixon 1B | SD,0,.000,0,0,0,9999
W ,Will Simpson 1B | TB ,0,.000,0,0,0,9999
W ,Joe Naranjo 1B | WAS ,0,.000,0,0,0,9999
W ,Ruben Ibarra 1B | CIN ,0,.000,0,0,0,9999
W ,Juan Yepez 1B | WAS ,0,.000,0,0,0,9999
W ,Tony Blanco 1B | PIT ,0,.000,0,0,0,9999
W ,Ramon Mendoza 1B | STL ,0,.000,0,0,0,9999
W ,Landon Stephens 1B | ATL ,0,.000,0,0,0,9999
W ,Andy Yerzy 1B | CIN ,0,.000,0,0,0,9999
W ,Keoni Cavaco 1B | MIN ,0,.000,0,0,0,9999
W ,Taylor Ard 1B | MIA ,0,.000,0,0,0,9999
W ,Jose Abreu 1B | HOU,0,.000,0,0,0,9999
W ,Jesus Chirinos 1B | MIL ,0,.000,0,0,0,9999
W ,Jeff Malm 1B | TB ,0,.000,0,0,0,9999
W ,Scott Schreiber 1B | HOU ,0,.000,0,0,0,9999
W ,Luis Tejada 1B | LAA ,0,.000,0,0,0,9999
W ,Jake Adams 1B | HOU ,0,.000,0,0,0,9999
W ,Austin Shenton 1B | SEA ,0,.000,0,0,0,9999
W ,Rickardo Perez 1B | PHI ,0,.000,0,0,0,9999
W ,Brady Whalen 1B | SF ,0,.000,0,0,0,9999
W ,Luke Gold 1B | DET ,0,.000,0,0,0,9999
W ,Luis Merejo 1B | CLE ,0,.000,0,0,0,9999
W ,Evan Edwards 1B | TB ,0,.000,0,0,0,9999
W ,Jesus Valdez 1B | ARI ,0,.000,0,0,0,9999
W ,Patrick Wisdom 1B | CHC,0,.000,0,0,0,9999
W ,Jordan George 1B | KC ,0,.000,0,0,0,9999
W ,Logan Wyatt 1B | SF ,0,.000,0,0,0,9999
W ,Justin Yurchak 1B | LAD,0,.000,0,0,0,9999
W ,Keaton Anthony 1B | PHI ,0,.000,0,0,0,9999
W ,Matt Rose 1B | CHW ,0,.000,0,0,0,9999
W ,Colby Lusignan 1B | MIA ,0,.000,0,0,0,9999
W ,C.J. Cron 1B | BOS ,0,.000,0,0,0,9999
W ,Josh Moylan 1B | NYY ,0,.000,0,0,0,9999
W ,Blake Burke 1B | MIL ,0,.000,0,0,0,9999
W ,Anthony Rizzo 1B | NYY,0,.000,0,0,0,9999
W ,Eric Aguilera 1B | TEX ,0,.000,0,0,0,9999
W ,Quinton Low 1B | MIL ,0,.000,0,0,0,9999
W ,Brandon Pimentel 1B | WAS ,0,.000,0,0,0,9999
W ,TT Bowens 1B | BAL ,0,.000,0,0,0,9999
W ,Milkar Perez 1B | SEA ,0,.000,0,0,0,9999
W ,Alex Binelas 1B | BOS ,0,.000,0,0,0,9999
W ,Robert Hipwell 1B | SF ,0,.000,0,0,0,9999
W ,Neyfy Castillo 1B | ARI ,0,.000,0,0,0,9999
W ,Jacob Bosiokovic 1B | MIN ,0,.000,0,0,0,9999
W ,DJ Gladney 1B | CHW ,0,.000,0,0,0,9999
W ,Corey Collins 1B | NYM ,0,.000,0,0,0,9999
W ,Abimelec Ortiz 1B | TEX ,0,.000,0,0,0,9999
W ,Cole Zabowski 1B | COL ,0,.000,0,0,0,9999
