All Catchers 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Yasmani Grandal C | PIT,0,.000,0,0,0,9999
W ,Chris Hudgins C | KC ,0,.000,0,0,0,9999
W ,Ian Moller C | TEX ,0,.000,0,0,0,9999
W ,AJ Lewis C | COL ,0,.000,0,0,0,9999
W ,Santiago Chavez C | MIA ,0,.000,0,0,0,9999
W ,Kale Emshoff C | KC ,0,.000,0,0,0,9999
W ,Josue Briceno C | DET ,0,.000,0,0,0,9999
W ,Danuerys De La Cruz C | DET ,0,.000,0,0,0,9999
W ,Kyle Petty C | SEA ,0,.000,0,0,0,9999
W ,Roberto Alvarez C | TB ,0,.000,0,0,0,9999
W ,Robie Rojas C | MIL ,0,.000,0,0,0,9999
W ,David Sheaffer C | SEA ,0,.000,0,0,0,9999
W ,Caleb Lomavita C | WAS ,0,.000,0,0,0,9999
W ,Jake Henson C | LAD ,0,.000,0,0,0,9999
W ,C.J. Rodriguez C | ATH ,0,.000,0,0,0,9999
W ,Christian Molfetta C | DET ,0,.000,0,0,0,9999
W ,Shane McGuire C | ATH ,0,.000,0,0,0,9999
W ,Enrique Jimenez C | MIN ,0,.000,0,0,0,9999
W ,Jin-De Jhang C | SF ,0,.000,0,0,0,9999
W ,Kyle Hayes C | KC ,0,.000,0,0,0,9999
W ,Jose Godoy C | TEX ,0,.000,0,0,0,9999
W ,Jan Vazquez C | COL ,0,.000,0,0,0,9999
W ,Miguel Jerez C | CLE ,0,.000,0,0,0,9999
W ,Mike Rothenberg C | DET ,0,.000,0,0,0,9999
W ,Sergio Tapia C | DET ,0,.000,0,0,0,9999
W ,Michael Hernandez C | MIA ,0,.000,0,0,0,9999
W ,Jordan Procyshen C | LAD ,0,.000,0,0,0,9999
W ,Beycker Barroso C | TEX ,0,.000,0,0,0,9999
W ,Nick Kahle C | MIL ,0,.000,0,0,0,9999
W ,Juan Apodaca C | TEX ,0,.000,0,0,0,9999
W ,Ronaldo Hernandez C | NYY ,0,.000,0,0,0,9999
W ,Garrett Wolforth C | CIN ,0,.000,0,0,0,9999
W ,Nate Nolan C | CHW ,0,.000,0,0,0,9999
W ,Frank Nigro C | MIN ,0,.000,0,0,0,9999
W ,Creed Willems C | BAL ,0,.000,0,0,0,9999
W ,John Garcia C | HOU ,0,.000,0,0,0,9999
W ,Juan Santander C | HOU ,0,.000,0,0,0,9999
W ,Chad Johnson C | KC ,0,.000,0,0,0,9999
W ,Joe DeCarlo C | SEA ,0,.000,0,0,0,9999
W ,Aaron Antonini C | STL ,0,.000,0,0,0,9999
W ,Ian Rice C | CHC ,0,.000,0,0,0,9999
W ,Grant Koch C | PIT ,0,.000,0,0,0,9999
W ,Dustin Houle C | NYM ,0,.000,0,0,0,9999
W ,Marcus Littlewood C | ARI ,0,.000,0,0,0,9999
W ,Danny Bethea C | BOS ,0,.000,0,0,0,9999
W ,Deon Stafford C | PIT ,0,.000,0,0,0,9999
W ,Chris O'Dowd C | ATL ,0,.000,0,0,0,9999
W ,Edgleen Perez C | PIT ,0,.000,0,0,0,9999
W ,Patrick Cantwell C | TOR ,0,.000,0,0,0,9999
W ,Joe Hudson C | HOU ,0,.000,0,0,0,9999
W ,Nathan Perry C | HOU ,0,.000,0,0,0,9999
W ,Tatem Levins C | TB ,0,.000,0,0,0,9999
W ,Ryan Stafford C | BAL ,0,.000,0,0,0,9999
W ,Jose Duarte C | CIN ,0,.000,0,0,0,9999
W ,Andrick Nava C | PHI ,0,.000,0,0,0,9999
W ,Kehden Hettiger C | PHI ,0,.000,0,0,0,9999
W ,Oscar Gonzalez C | PHI ,0,.000,0,0,0,9999
W ,Maxwell Romero C | WAS ,0,.000,0,0,0,9999
W ,Ricardo Valenzuela C | SD ,0,.000,0,0,0,9999
W ,Matt O'Neill C | NYM ,0,.000,0,0,0,9999
W ,Caden Bodine C | BAL ,0,.000,0,0,0,9999
W ,Garrett Boulware C | CIN ,0,.000,0,0,0,9999
W ,Joey Roach C | TB ,0,.000,0,0,0,9999
W ,Tayden Hall C | MIL ,0,.000,0,0,0,9999
W ,Wyatt Hendrie C | PIT ,0,.000,0,0,0,9999
W ,Brian Serven C | DET,0,.000,0,0,0,9999
W ,Thayron Liranzo C | DET ,0,.000,0,0,0,9999
W ,Ivan Luciano C | ARI ,0,.000,0,0,0,9999
W ,Nathan Rodriguez C | MIL ,0,.000,0,0,0,9999
W ,Connor Caskenette C | MIA ,0,.000,0,0,0,9999
W ,Armando Araiza C | TB ,0,.000,0,0,0,9999
W ,Abraham Gutierrez C | PIT ,0,.000,0,0,0,9999
W ,Mark Kolozsvary C | BOS ,0,.000,0,0,0,9999
W ,Carter Bins C | PIT ,0,.000,0,0,0,9999
W ,Christian Cerda C | ARI ,0,.000,0,0,0,9999
W ,Andres Sthormes C | MIA ,0,.000,0,0,0,9999
W ,Cade Hunter C | CIN ,0,.000,0,0,0,9999
