All Shortstops 2021  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Beau Philip SS | ATL ,0,.000,0,0,0,9999
W ,Payton Green SS | MIA ,0,.000,0,0,0,9999
W ,Gunner Gouldsmith SS | ATH ,0,.000,0,0,0,9999
W ,Trevor Schwecke SS | PHI,0,.000,0,0,0,9999
W ,Glynn Davis SS | BAL ,0,.000,0,0,0,9999
W ,Sebastian Walcott SS | TEX ,0,.000,0,0,0,9999
W ,Wyatt Sanford SS | PIT ,0,.000,0,0,0,9999
W ,George Lombard SS | NYY ,0,.000,0,0,0,9999
W ,Scott Burcham SS | COL ,0,.000,0,0,0,9999
W ,Mateo Gil SS | NYM ,0,.000,0,0,0,9999
W ,Dereck Salom SS | ATH ,0,.000,0,0,0,9999
W ,Jesus Lara SS | CLE ,0,.000,0,0,0,9999
W ,Jesus Baez SS | STL ,0,.000,0,0,0,9999
W ,Steven Leyton SS | CIN ,0,.000,0,0,0,9999
W ,Uziel Viloria SS | PHI ,0,.000,0,0,0,9999
W ,Marten Gasparini SS | KC ,0,.000,0,0,0,9999
W ,Robi Estrada SS | TB ,0,.000,0,0,0,9999
W ,Sheng-Ping Chen SS | ARI ,0,.000,0,0,0,9999
W ,Emerson Jimenez SS | COL ,0,.000,0,0,0,9999
W ,Josh Hood SS | SEA ,0,.000,0,0,0,9999
W ,Jonathan Ornelas SS | ATL ,0,.000,0,0,0,9999
W ,Jared Sprague-Lott SS | ATH ,0,.000,0,0,0,9999
W ,Osvaldo Duarte SS | HOU ,0,.000,0,0,0,9999
W ,Jack Brannigan SS | PIT ,0,.000,0,0,0,9999
W ,Jesus Hernandez SS | MIA ,0,.000,0,0,0,9999
W ,Alejandro Pie SS | TB ,0,.000,0,0,0,9999
W ,Ray-Patrick Didder SS | SD ,0,.000,0,0,0,9999
W ,Ayden Johnson SS | ATH ,0,.000,0,0,0,9999
W ,Beamer Weems SS | CIN ,0,.000,0,0,0,9999
W ,Alfredo Lopez SS | MIA ,0,.000,0,0,0,9999
W ,Daniel Pinero SS | DET ,0,.000,0,0,0,9999
W ,Adrian Marin SS | BAL ,0,.000,0,0,0,9999
W ,Roberto Chirinos SS | NYY ,0,.000,0,0,0,9999
W ,Cesar Berbesi SS | NYM ,0,.000,0,0,0,9999
W ,Eduardo Torrealba SS | NYY ,0,.000,0,0,0,9999
W ,Camden Duzenack SS | ARI ,0,.000,0,0,0,9999
W ,Marvin Alcantara SS | BOS ,0,.000,0,0,0,9999
W ,Kyle Watson SS | PIT ,0,.000,0,0,0,9999
W ,Ali Camarillo SS | ATH ,0,.000,0,0,0,9999
W ,Alex Mooney SS | CLE ,0,.000,0,0,0,9999
W ,Christian Knapczyk SS | CLE ,0,.000,0,0,0,9999
W ,Brett Roberts SS | MIA ,0,.000,0,0,0,9999
W ,Jalen Battles SS | TB ,0,.000,0,0,0,9999
W ,Leonardo Reginatto SS | MIN ,0,.000,0,0,0,9999
Rieken Havoc,Zachary Neto SS | LAA ,0,.000,0,0,0,9999
W ,Trace Loehr SS | ATH ,0,.000,0,0,0,9999
W ,Narciso Polanco SS | TB ,0,.000,0,0,0,9999
W ,James Roberts SS | CLE ,0,.000,0,0,0,9999
W ,Derian Cruz SS | ATL ,0,.000,0,0,0,9999
W ,Konnor Griffin SS | PIT ,0,.000,0,0,0,9999
W ,Bennett Hostetler SS | MIA,0,.000,0,0,0,9999
W ,Nik McClaughry SS | SD ,0,.000,0,0,0,9999
W ,Jorma Rodriguez SS | CLE ,0,.000,0,0,0,9999
W ,Gabriel Rodriguez SS | CLE ,0,.000,0,0,0,9999
W ,Marco Luciano SS | PIT ,0,.000,0,0,0,9999
W ,Jonathan Galvez SS | NYY ,0,.000,0,0,0,9999
W ,Colby Woodmansee SS | NYM ,0,.000,0,0,0,9999
W ,Beyker Pastran SS | MIL ,0,.000,0,0,0,9999
W ,Jake Yacinich SS | LAA ,0,.000,0,0,0,9999
W ,Mitch Roman SS | CHW ,0,.000,0,0,0,9999
W ,Wilfredo Lara SS | MIA ,0,.000,0,0,0,9999
W ,Cito Culver SS | MIA ,0,.000,0,0,0,9999
W ,Wilkerman Garcia SS | NYY ,0,.000,0,0,0,9999
W ,Moises Castillo SS | CHW ,0,.000,0,0,0,9999
W ,Axel Sanchez SS | SEA ,0,.000,0,0,0,9999
W ,Mason McCoy SS | SD,0,.000,0,0,0,9999
W ,Johan Cruz SS | CHW ,0,.000,0,0,0,9999
W ,Joendry Vargas SS | LAD ,0,.000,0,0,0,9999
W ,C.J. Hinojosa SS | TB ,0,.000,0,0,0,9999
W ,Dustin Dickerson SS | KC ,0,.000,0,0,0,9999
W ,Shawn Goosenberg SS | CHW ,0,.000,0,0,0,9999
W ,Ryan Dobson SS | ARI ,0,.000,0,0,0,9999
W ,Yandel Ricardo SS | KC ,0,.000,0,0,0,9999
W ,Lizandro Espinoza SS | ATL ,0,.000,0,0,0,9999
W ,Kyle Marinconz SS | WAS ,0,.000,0,0,0,9999
W ,Jhonny Level SS | SF ,0,.000,0,0,0,9999
W ,Ben Troike SS | TB ,0,.000,0,0,0,9999
W ,Fran Alduey SS | CLE ,0,.000,0,0,0,9999
W ,Tyler Frank SS | TB ,0,.000,0,0,0,9999
W ,Raudy De Los Santos SS | DET ,0,.000,0,0,0,9999
W ,James Parker SS | SEA ,0,.000,0,0,0,9999
W ,Antonio Nunez SS | HOU ,0,.000,0,0,0,9999
W ,Alexander Perez SS | MIL ,0,.000,0,0,0,9999
W ,Osleivis Basabe SS | SF ,0,.000,0,0,0,9999
W ,Denzer Guzman SS | LAA,0,.000,0,0,0,9999
W ,Edwin Arroyo SS | CIN ,0,.000,0,0,0,9999
W ,Gregory Barrios SS | TB ,0,.000,0,0,0,9999
W ,Anibal Sierra SS | HOU ,0,.000,0,0,0,9999
W ,Cesar Galvez SS | COL ,0,.000,0,0,0,9999
W ,Braden Shewmake SS | NYY,0,.000,0,0,0,9999
W ,Leandro Arias SS | BAL ,0,.000,0,0,0,9999
W ,Brock Rodden SS | SEA ,0,.000,0,0,0,9999
W ,Estiven Machado SS | TOR ,0,.000,0,0,0,9999
W ,Hector Nieves SS | HOU ,0,.000,0,0,0,9999
W ,Angel Genao SS | CLE ,0,.000,0,0,0,9999
W ,Tim Smalling SS | COL ,0,.000,0,0,0,9999
W ,Stephen Wickens SS | MIN ,0,.000,0,0,0,9999
W ,Jose Torres SS | COL ,0,.000,0,0,0,9999
W ,Aidan Miller SS | PHI ,0,.000,0,0,0,9999
W ,Austin Fisher SS | CLE ,0,.000,0,0,0,9999
W ,Jorge Quintana SS | SD ,0,.000,0,0,0,9999
W ,Mikey White SS | ATH ,0,.000,0,0,0,9999
W ,Rafael Morel SS | CHC ,0,.000,0,0,0,9999
W ,Roderick Arias SS | NYY ,0,.000,0,0,0,9999
W ,Caleb Bonemer SS | CHW ,0,.000,0,0,0,9999
W ,Alexander Campos SS | ATH ,0,.000,0,0,0,9999
W ,Brady Ebel SS | MIL ,0,.000,0,0,0,9999
W ,Garrett Weber SS | ARI ,0,.000,0,0,0,9999
W ,Jax Biggers SS | TEX,0,.000,0,0,0,9999
W ,Tanner Rahier SS | CIN,0,.000,0,0,0,9999
W ,Liover Peguero SS | PIT ,0,.000,0,0,0,9999
W ,Johan Lopez SS | TB ,0,.000,0,0,0,9999
W ,Juan Corniel SS | ARI ,0,.000,0,0,0,9999
W ,"Brayan Rocchio 2B,SS | CLE",0,.000,0,0,0,9999
W ,Kevin Vicuna SS | ARI ,0,.000,0,0,0,9999
W ,Jefferson Rojas SS | CHC ,0,.000,0,0,0,9999
W ,Jose Lozada SS | WAS ,0,.000,0,0,0,9999
W ,Andy Vasquez SS | PIT ,0,.000,0,0,0,9999
W ,Branden Fryman SS | NYM ,0,.000,0,0,0,9999
W ,Carlos Sanchez SS | CIN ,0,.000,0,0,0,9999
W ,Corey Joyce SS | DET ,0,.000,0,0,0,9999
W ,Kaelen Culpepper SS | MIN ,0,.000,0,0,0,9999
W ,Jonah McReynolds SS | TEX ,0,.000,0,0,0,9999
W ,Marcus Mooney SS | ATL ,0,.000,0,0,0,9999
W ,Diego Goris SS | SD ,0,.000,0,0,0,9999
W ,Yeison Coca SS | MIL ,0,.000,0,0,0,9999
W ,Yeltsin Gudino SS | TOR ,0,.000,0,0,0,9999
W ,Brett Pope SS | PIT ,0,.000,0,0,0,9999
W ,Oswaldo Osorio SS | LAD ,0,.000,0,0,0,9999
W ,Logan Simmons SS | PHI ,0,.000,0,0,0,9999
W ,Colson Montgomery SS | CHW,0,.000,0,0,0,9999
W ,Andres Alvarez SS | PIT ,0,.000,0,0,0,9999
W ,Cobb Hightower SS | BAL ,0,.000,0,0,0,9999
W ,Beau Brundage SS | TB ,0,.000,0,0,0,9999
