Action,Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank
,W,Ryan Bergert P • KC,76,19,15,1,0,2,2,0,0,0,73,35,61,3.65,1.26,714
,W,Yuki Matsui P • SD,62,62,0,0,0,3,1,1,2,5,64,31,50,3.88,1.29,715
,W,Erik Miller P • SF,43,50,4,0,0,4,2,0,2,12,46,27,34,2.88,1.4,716
,W,Brennan Bernardino P • COL,51,56,4,0,0,4,3,0,1,6,50,23,44,3.53,1.31,717
,W,Blake Treinen P • LAD,34,39,0,0,0,4,6,2,3,12,44,16,31,3.71,1.38,719
,W,Davis Martin P • CHW,107,20,19,6,0,4,8,0,0,0,83,39,104,4.18,1.33,720
,W,Brock Burke P • LAA,52,55,1,0,0,5,1,0,3,10,49,16,53,4.13,1.32,723
,W,Nick Sandlin P • TOR,37,42,0,0,0,3,2,1,3,7,42,17,27,3.38,1.18,725
,W,John Schreiber P • KC,56,64,0,0,0,3,3,1,3,20,55,20,51,3.81,1.25,726
,W,Yimi Garcia P • TOR,35,37,0,0,0,2,2,4,3,11,43,13,27,3.86,1.14,727
,W,Hans Crouse P • LAA,25,25,0,0,0,4,3,0,1,1,34,17,14,2.84,1.22,728
,W,Anthony Banda P • LAD,48,52,1,0,0,3,1,1,1,9,47,23,38,3.35,1.26,729
,W,Enyel De Los Santos P • HOU,65,66,0,0,0,4,2,1,2,9,63,24,60,4.43,1.29,731
,W,Ryan Thompson P • ARI,46,50,0,0,0,4,3,1,4,17,38,13,44,3.69,1.23,732
,W,Justin Wrobleski P • LAD,55,18,4,0,0,4,4,2,0,4,57,17,53,4.72,1.27,733
,W,Ben Casparius P • LAD,51,30,2,0,0,5,3,1,0,8,49,15,52,4.56,1.31,734
,W,Justin Sterner P • ATH,42,38,1,0,0,2,2,0,4,10,45,14,31,3.21,1.07,735
,W,Ryne Stanek P • NYM,54,62,0,0,0,5,4,4,4,11,59,28,51,4.97,1.45,737
,W,Tim Herrin P • CLE,46,54,0,0,0,4,2,0,2,12,49,25,36,3.69,1.32,740
,W,Kyle Hendricks P • LAA,148,29,28,9,0,6,10,0,0,0,102,40,155,4.9,1.31,741
,W,Mitchell Parker P • WAS,159,32,30,11,0,8,14,1,0,0,114,52,169,5.19,1.38,746
,W,Chase Lee P • DET,37,32,0,0,0,4,1,0,1,4,36,9,32,4.1,1.1,747
,W,Jordan Romano P • PHI,37,41,0,0,0,2,4,14,3,4,42,14,37,6.32,1.38,749
,W,Juan Mejia P • COL,61,55,0,0,0,2,2,1,3,12,68,25,52,3.96,1.26,750
