#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
301,Connor Prielipp,MIN,3,3,0,54,2,61.1,8.66,3.33,1.02,0.3,73.60%,43.90%,3.85,3.92,0.4
302,Tyler Holton,DET,4,3,2,72,0,72,7.79,2.47,1.03,0.296,73.50%,44.70%,3.73,3.82,0.4
303,Edwin Uceta,TBR,3,3,15,70,0,70,10.16,3.28,1.25,0.288,74.40%,35.80%,3.87,3.93,0.4
304,Sean Sullivan,COL,4,5,0,13,13,74,6.64,2.65,1.65,0.304,69.30%,38.20%,5.21,5.06,0.4
305,Kevin Ginkel,ARI,3,3,2,60,0,60,9.29,3.26,0.95,0.305,72.90%,42.90%,3.81,3.65,0.4
306,McCade Brown,COL,5,9,0,21,21,113.2,7.74,3.96,1.6,0.306,68.50%,37.80%,5.52,5.22,0.4
307,Ryan Johnson,LAA,2,2,4,36,2,43.1,8.43,2.97,1.16,0.297,73.20%,44.10%,3.97,4.04,0.4
308,Caleb Thielbar,,3,3,0,58,0,58,9.4,3.21,1.16,0.287,74.90%,37.00%,3.75,3.87,0.4
309,Jordan Leasure,CHW,3,3,18,66,0,66,9.92,4.12,1.25,0.284,75.10%,35.90%,3.98,4.21,0.4
310,Justin Slaten,BOS,3,3,0,61,0,61,8.69,2.97,1.09,0.301,72.70%,42.50%,3.96,3.87,0.4
311,Tanner Banks,PHI,3,3,0,60,0,60,8.73,2.74,1.17,0.292,74.20%,41.20%,3.79,3.91,0.4
312,Sean Newcomb,,3,3,0,67,0,67,9.04,3.58,0.97,0.296,74.30%,44.60%,3.7,3.85,0.4
313,Brendon Little,TOR,3,3,1,60,0,60,9.47,4.54,0.74,0.303,75.70%,53.90%,3.43,3.72,0.4
314,Andrew Kittredge,BAL,3,3,4,67,0,67,8.93,2.61,1.13,0.302,73.10%,44.40%,3.86,3.75,0.4
315,Graham Ashcraft,CIN,3,3,4,67,0,67,7.94,2.68,1.08,0.306,72.40%,49.00%,3.99,3.97,0.4
316,Brock Stewart,LAD,2,1,0,34,0,34,10.74,3.47,1.14,0.287,75.50%,38.00%,3.6,3.68,0.4
317,Brant Hurter,DET,3,3,1,62,0,62,7.95,2.71,0.92,0.299,73.20%,47.30%,3.66,3.79,0.4
318,Kyle Finnegan,,3,3,0,63,0,63,8.88,3.24,1.03,0.298,73.50%,45.10%,3.8,3.81,0.4
319,Clarke Schmidt,NYY,2,2,0,21,3,36,9.19,2.89,1.22,0.287,74.40%,39.40%,3.81,3.96,0.4
320,Mark Leiter Jr.,,3,3,0,53,0,53,9.29,3.48,1.03,0.296,73.40%,44.60%,3.84,3.88,0.4
