#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
145,Josh Jung,TEX,109,443,16,48,55,4,5.50%,25.20%,0.171,0.309,0.254,0.3,0.426,0.313,102,-1.2,-0.4,1.5,1.7
146,Konnor Griffin,PIT,90,366,9,42,39,15,6.70%,23.70%,0.135,0.324,0.259,0.32,0.395,0.313,98,0.5,-0.4,4.5,1.7
147,Colton Cowser,BAL,107,441,17,51,52,11,9.80%,31.00%,0.182,0.303,0.23,0.313,0.411,0.316,103,0.5,2.2,-1.2,1.7
148,Ernie Clement,TOR,119,466,9,52,51,7,4.60%,10.00%,0.13,0.287,0.274,0.311,0.404,0.31,99,0.4,-0.4,0.5,1.7
149,Brayan Rocchio,CLE,103,393,8,43,39,10,8.50%,18.60%,0.135,0.281,0.242,0.315,0.377,0.305,96,-0.1,-2.1,4.8,1.7
150,Jake Meyers,HOU,104,404,9,46,42,12,8.00%,20.90%,0.133,0.304,0.253,0.32,0.386,0.31,99,0.6,0.1,2.1,1.6
151,Salvador Perez,KCR,131,563,26,68,83,0,5.00%,20.10%,0.199,0.278,0.256,0.303,0.454,0.322,104,-3.3,-0.9,2.5,1.6
152,Brooks Lee,MIN,111,434,13,49,50,4,6.70%,16.70%,0.153,0.276,0.252,0.306,0.405,0.308,96,-0.8,-2.7,3.4,1.6
153,Matt McLain,CIN,109,481,15,59,50,13,9.70%,27.50%,0.156,0.301,0.234,0.316,0.39,0.311,93,0.4,-3.3,2.7,1.6
154,Jurickson Profar,ATL,137,599,18,76,71,8,11.30%,16.60%,0.158,0.281,0.254,0.348,0.412,0.334,114,-0.9,9.2,-13.8,1.6
155,Sal Frelick,MIL,108,457,8,51,47,13,8.30%,14.40%,0.119,0.304,0.271,0.337,0.39,0.32,105,0.7,3.7,-3.5,1.6
156,Carson Kelly,CHC,81,313,11,36,36,2,9.20%,20.50%,0.159,0.268,0.236,0.314,0.395,0.311,100,-1,-0.9,7.6,1.6
157,Kyle Stowers,MIA,114,494,21,59,65,4,9.60%,28.40%,0.201,0.303,0.241,0.321,0.442,0.329,110,-0.3,5.3,-6.5,1.6
158,Luis Robert Jr.,NYM,117,477,18,57,58,25,7.30%,28.80%,0.17,0.295,0.232,0.295,0.402,0.301,95,0.7,-2.2,1.6,1.6
159,Jo Adell,LAA,111,460,26,57,67,7,7.00%,26.90%,0.233,0.27,0.237,0.3,0.471,0.329,110,-0.4,5.1,-6,1.5
160,Jonathan India,KCR,112,478,11,55,46,5,10.30%,19.00%,0.139,0.291,0.248,0.34,0.387,0.322,104,-0.1,2,-3.7,1.5
161,Matt Wallner,MIN,96,410,19,52,56,4,10.70%,30.90%,0.218,0.296,0.229,0.329,0.448,0.337,116,-0.7,7,-6.3,1.5
162,Carter Jensen,KCR,77,308,10,35,36,3,10.10%,24.60%,0.174,0.304,0.248,0.327,0.421,0.325,106,-0.2,1.8,2.1,1.5
163,Parker Meadows,DET,112,502,12,61,45,13,9.50%,25.20%,0.15,0.288,0.228,0.305,0.378,0.3,91,1.1,-4.4,1.4,1.5
164,Jonathan Aranda,TBR,109,478,16,56,59,2,10.70%,26.50%,0.171,0.328,0.257,0.346,0.428,0.337,116,-2.1,6.9,-9.2,1.4
165,Teoscar Hernández,LAD,133,548,26,69,80,6,6.60%,26.40%,0.206,0.305,0.255,0.31,0.461,0.33,112,-1.2,6.8,-11,1.4
