#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
265,Bryan Baker,TBR,3,2,1,60,0,61.1,9.9,3.18,1.19,0.285,72.20%,,3.89,3.82,0.5
266,Shawn Armstrong,CLE,3,3,3,63,0,66.2,8.9,2.73,1.04,0.289,71.30%,,3.8,3.73,0.4
267,Steven Okert,HOU,3,3,0,61,0,62,10.03,3.21,1.27,0.281,71.80%,,3.97,3.96,0.4
268,Bennett Sousa,HOU,3,2,1,49,0,51.2,9.69,3.07,1.07,0.285,73.50%,,3.63,3.64,0.4
269,Drew Pomeranz,LAA,3,3,2,54,0,54.1,9.75,3.05,1.18,0.29,73.40%,,3.8,3.87,0.4
270,Tanner Banks,PHI,3,3,0,56,0,59,8.43,2.43,1.16,0.291,71.60%,,3.91,3.85,0.4
271,Graham Ashcraft,CIN,5,3,2,54,0,62,7.86,3.02,0.93,0.303,70.90%,,4.05,3.88,0.4
272,Brusdar Graterol,LAD,3,2,0,41,0,42,7.56,2.53,0.75,0.286,71.40%,,3.51,3.5,0.4
273,Brooks Raley,NYM,3,2,1,56,0,55.2,8.8,2.96,1.03,0.283,71.90%,,3.75,3.85,0.4
274,Braydon Fisher,TOR,3,2,1,49,0,50.2,10.08,3.75,1.06,0.282,73.30%,,3.73,3.81,0.4
275,Andrew Kittredge,BAL,4,4,7,62,0,64,8.94,2.32,1.17,0.292,73.10%,,3.72,3.71,0.4
276,Luis Medina,ATH,4,5,0,35,11,85.2,8.06,4.14,1.17,0.293,69.00%,,4.7,4.6,0.4
277,Brant Hurter,DET,3,3,0,44,0,52,8.07,2.84,0.83,0.294,72.10%,,3.65,3.72,0.4
278,Charlie Morton,,4,4,0,11,10,54.2,8.92,4.08,1.25,0.3,69.80%,,4.67,4.56,0.4
279,Jack Dreyer,LAD,3,2,1,47,0,49.2,8.8,3.08,1.07,0.285,71.80%,,3.87,3.83,0.4
280,Hayden Birdsong,SFG,3,3,0,20,8,55,9.04,4.43,1.28,0.286,70.80%,,4.55,4.63,0.4
281,Dennis Santana,PIT,4,3,23,62,0,65,8.34,3.08,0.95,0.292,70.60%,,3.94,3.83,0.4
282,Tobias Myers,NYM,3,3,0,40,4,63.1,7.7,2.64,1.2,0.292,72.70%,,4.01,4.16,0.4
283,Marcus Stroman,,4,4,0,13,11,60,6.41,3.5,1.13,0.297,68.30%,,4.79,4.63,0.4
284,Kody Funderburk,MIN,4,3,4,58,0,62.1,8.56,3.67,0.77,0.302,71.50%,,3.87,3.76,0.4
285,Justin Slaten,BOS,4,4,1,56,0,61,8.37,2.93,1.07,0.291,71.10%,,3.99,3.9,0.4
286,JP Sears,SDP,4,4,0,26,9,65.2,7.86,2.49,1.54,0.279,70.00%,,4.46,4.6,0.4
287,Kyle Finnegan,DET,4,4,6,60,0,61.2,8.48,3.1,1.02,0.29,71.80%,,3.9,3.84,0.4
288,Justin Topa,MIN,3,3,7,59,0,61.2,7.47,2.85,0.85,0.303,70.30%,,4,3.81,0.4
289,Paul Blackburn,NYY,3,4,0,47,3,63.2,7.67,2.8,1.24,0.295,69.30%,,4.44,4.27,0.4
290,Tyler Anderson,LAA,4,5,0,18,15,84,6.95,3.63,1.46,0.285,69.80%,,4.86,5.03,0.4
291,Brendon Little,TOR,2,2,0,53,0,52,9.66,4.79,0.73,0.294,75.00%,,3.56,3.76,0.4
292,Jordan Wicks,CHC,2,2,0,16,3,32,7.9,2.86,1.06,0.297,71.10%,,4.06,3.94,0.4
293,Pierson Ohl,COL,1,3,0,24,2,43,7.48,2.07,1.26,0.309,67.30%,,4.61,4.07,0.4
294,Martín Pérez,ATL,2,3,0,9,9,46.2,6.89,3.31,1.22,0.292,69.80%,,4.58,4.58,0.4
295,Luis Garcia,,3,3,1,38,3,50.1,8.34,3.22,1.18,0.294,72.00%,,4.14,4.22,0.4
296,Jovani Morán,BOS,3,2,0,49,0,52.1,9.43,3.89,0.88,0.3,72.20%,,3.87,3.71,0.4
297,Germán Márquez,SDP,5,7,0,23,19,101.2,6.59,3.22,1.51,0.301,67.20%,,5.24,5.02,0.4
298,Sawyer Gipson-Long,DET,2,2,0,25,3,40.1,8.19,2.44,1.22,0.287,69.60%,,4.14,4.04,0.4
