Action,Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank
,Long B...,Spencer Torkelson 1B • DET,505,72,118,65,27,1,25,69,59,150,2,0,0.234,0.32,0.44,124
,Big St...,Yainer Diaz C • HOU,518,59,142,96,26,1,19,72,19,94,1,0,0.274,0.301,0.438,125
,Trex,Oneil Cruz OF • PIT,404,54,91,54,19,2,16,54,49,143,26,3,0.225,0.311,0.401,126
,Simba'...,TJ Friedl OF • CIN,476,66,123,89,17,3,14,56,58,91,14,3,0.258,0.353,0.395,128
,Young ...,"Otto Lopez 2B,SS • MIA",491,60,125,91,22,0,12,63,37,79,17,5,0.255,0.308,0.373,129
,Young ...,"Alec Burleson 1B,OF • STL",476,55,132,91,23,1,17,65,35,71,6,2,0.277,0.328,0.437,131
,Like a...,"Jose Caballero 2B,3B,SS,OF • NYY",336,49,77,52,18,1,6,36,37,102,43,11,0.229,0.318,0.342,132
,W,J.D. Martinez DH • NYM,433,52,108,59,25,1,23,83,43,144,0,0,0.249,0.32,0.471,134
,Trex,Junior Caminero 3B • TB,357,52,93,52,17,0,24,62,24,76,4,0,0.261,0.307,0.51,135
,Long B...,Lawrence Butler OF • ATH,433,62,104,61,23,2,18,51,41,129,16,4,0.24,0.305,0.427,136
,MAGA D...,Matt McLain 2B • CIN,469,71,110,75,19,1,15,50,48,152,17,3,0.234,0.312,0.375,138
,Guillo...,Jurickson Profar OF • ATL,420,67,109,70,22,1,16,56,57,78,8,2,0.26,0.359,0.431,139
,Long B...,Trevor Story SS • BOS,366,50,94,62,18,0,14,54,22,109,19,2,0.257,0.306,0.421,140
,Long B...,Yordan Alvarez DH • HOU,330,50,98,58,19,1,20,59,48,63,2,0,0.297,0.391,0.542,141
,Simba'...,"Ceddanne Rafaela 2B,OF • BOS",453,65,112,70,25,4,13,55,19,109,16,6,0.247,0.285,0.406,142
,MAGA D...,Nate Lowe 1B • BOS,540,68,133,90,24,2,17,79,71,150,1,0,0.246,0.335,0.393,143
,W,Willson Contreras 1B • STL,421,60,109,65,26,0,18,64,46,122,5,1,0.259,0.355,0.449,144
,Gashou...,Kerry Carpenter OF • DET,379,56,100,57,17,4,22,61,22,98,2,1,0.264,0.313,0.504,146
,Simba'...,"Ryan O'Hearn 1B,OF • SD",439,61,122,83,21,2,16,61,46,92,3,1,0.278,0.35,0.444,147
,Like a...,Caleb Durbin 3B • MIL,445,60,114,78,25,0,11,53,30,50,18,6,0.256,0.334,0.387,148
,Like a...,Jo Adell OF • LAA,396,49,90,50,14,1,25,69,28,118,7,4,0.227,0.289,0.457,149
